activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train,source_eventlog
HO2_delivery,5.0,10,6.788512133825493,9.341185176563647,6.629638004030942,9.38521251207337,-0.018425404818002367,1071,4280,s6_train.csv
HO2_delivery,5.0,20,6.788512133825493,9.341185176563647,6.6734563350246185,9.460021695207258,-0.03472577450828451,1071,4280,s6_train.csv
HO2_delivery,5.0,50,6.788512133825493,9.341185176563647,6.711919029759481,9.52459768097899,-0.04890047664086605,1071,4280,s6_train.csv
HO2_delivery,8.0,5,6.788512133825493,9.341185176563647,6.966417749505441,9.829886129433097,-0.11721813423004201,1071,4280,s6_train.csv
HO2_delivery,8.0,10,6.788512133825493,9.341185176563647,6.945605063692529,9.88968276347882,-0.13085187891793315,1071,4280,s6_train.csv
HO2_delivery,8.0,20,6.788512133825493,9.341185176563647,6.821674836613318,9.736583919316464,-0.09611021536041364,1071,4280,s6_train.csv
HO2_delivery,8.0,50,6.788512133825493,9.341185176563647,6.875178154864726,9.836536081506203,-0.11873024942106847,1071,4280,s6_train.csv
HO2_delivery,,5,6.788512133825493,9.341185176563647,8.01699366615333,11.145882726935735,-0.43638195653972,1071,4280,s6_train.csv
HO2_delivery,,10,6.788512133825493,9.341185176563647,7.601817176442104,10.602409842871289,-0.2997211279468075,1071,4280,s6_train.csv
HO2_delivery,,20,6.788512133825493,9.341185176563647,7.249070172024199,10.258042768258703,-0.2166621943383562,1071,4280,s6_train.csv
HO2_delivery,,50,6.788512133825493,9.341185176563647,6.8839555310080565,9.911314974792823,-0.13580443033831013,1071,4280,s6_train.csv
HO2_mixed,2.0,5,10.11445010836055,12.884208668673356,9.811103600956077,12.464178643542867,0.039533773672695394,362,1448,s6_train.csv
HO2_mixed,2.0,10,10.11445010836055,12.884208668673356,9.811103600956077,12.464178643542867,0.039533773672695394,362,1448,s6_train.csv
HO2_mixed,2.0,20,10.11445010836055,12.884208668673356,9.734160691195486,12.361747358450582,0.05525523262373999,362,1448,s6_train.csv
HO2_mixed,2.0,50,10.11445010836055,12.884208668673356,10.38664211748365,13.364924147220277,-0.10430176087213194,362,1448,s6_train.csv
HO2_mixed,3.0,5,10.11445010836055,12.884208668673356,9.713756682424375,12.263149908055118,0.07026572299553746,362,1448,s6_train.csv
HO2_mixed,3.0,10,10.11445010836055,12.884208668673356,9.90832390157723,12.561240984551443,0.024516645126140935,362,1448,s6_train.csv
HO2_mixed,3.0,20,10.11445010836055,12.884208668673356,9.83138099181664,12.459607681142481,0.040238104077185644,362,1448,s6_train.csv
HO2_mixed,3.0,50,10.11445010836055,12.884208668673356,10.693766583235933,13.682231467925629,-0.1573604431342983,362,1448,s6_train.csv
HO2_mixed,5.0,5,10.11445010836055,12.884208668673356,10.338104944068316,12.972472922389475,-0.04039992898621847,362,1448,s6_train.csv
HO2_mixed,5.0,10,10.11445010836055,12.884208668673356,10.541293146511864,13.207463522241108,-0.07843409045872907,362,1448,s6_train.csv
HO2_mixed,5.0,20,10.11445010836055,12.884208668673356,10.529431420418609,13.153842340183942,-0.06969516425586364,362,1448,s6_train.csv
HO2_mixed,5.0,50,10.11445010836055,12.884208668673356,10.761273896794517,13.676651286883024,-0.156416596534116,362,1448,s6_train.csv
HO2_mixed,8.0,5,10.11445010836055,12.884208668673356,10.56847037201857,13.438519807954117,-0.11649720375863648,362,1448,s6_train.csv
HO2_mixed,8.0,10,10.11445010836055,12.884208668673356,10.8044314221071,13.6918982297352,-0.15899641603853754,362,1448,s6_train.csv
HO2_mixed,8.0,20,10.11445010836055,12.884208668673356,10.864853822033382,13.711124003613577,-0.16225356080327513,362,1448,s6_train.csv
HO2_mixed,8.0,50,10.11445010836055,12.884208668673356,10.655867156408302,13.71657388255019,-0.16317768635873997,362,1448,s6_train.csv
HO2_mixed,,5,10.11445010836055,12.884208668673356,11.583150267473473,14.658351070698654,-0.3283881904887198,362,1448,s6_train.csv
HO2_mixed,,10,10.11445010836055,12.884208668673356,11.37261504805368,14.187432732043652,-0.24440686680485468,362,1448,s6_train.csv
HO2_mixed,,20,10.11445010836055,12.884208668673356,11.011592556792753,13.890217294688624,-0.19281432941866572,362,1448,s6_train.csv
HO2_mixed,,50,10.11445010836055,12.884208668673356,10.641267870010113,13.717745988324907,-0.16337648608029776,362,1448,s6_train.csv
HO2_receive,2.0,5,8.133019148468511,11.871422753081605,8.161253094559621,11.618130417107418,0.035258130445961045,762,3045,s6_train.csv
HO2_receive,2.0,10,8.133019148468511,11.871422753081605,8.161253094559621,11.618130417107418,0.035258130445961045,762,3045,s6_train.csv
HO2_receive,2.0,20,8.133019148468511,11.871422753081605,8.161253094559621,11.618130417107418,0.035258130445961045,762,3045,s6_train.csv
HO2_receive,2.0,50,8.133019148468511,11.871422753081605,8.18116208918888,11.753671882754341,0.0126167441673104,762,3045,s6_train.csv
HO2_receive,3.0,5,8.133019148468511,11.871422753081605,8.002680259079256,11.129696976281892,0.1146697306361606,762,3045,s6_train.csv
HO2_receive,3.0,10,8.133019148468511,11.871422753081605,8.018545138950042,11.149984577656332,0.1114391668921183,762,3045,s6_train.csv
HO2_receive,3.0,20,8.133019148468511,11.871422753081605,8.079705899265383,11.446900401445633,0.06348564034149284,762,3045,s6_train.csv
HO2_receive,3.0,50,8.133019148468511,11.871422753081605,8.19220942098091,11.653882368666238,0.02931148106728909,762,3045,s6_train.csv
HO2_receive,5.0,5,8.133019148468511,11.871422753081605,8.56289401268441,11.867248297184133,-0.006557735999569436,762,3045,s6_train.csv
HO2_receive,5.0,10,8.133019148468511,11.871422753081605,8.604916547485644,11.865205203604601,-0.006211183105230722,762,3045,s6_train.csv
HO2_receive,5.0,20,8.133019148468511,11.871422753081605,8.819671707216928,12.346567635925489,-0.08950972824888082,762,3045,s6_train.csv
HO2_receive,5.0,50,8.133019148468511,11.871422753081605,8.754744586654699,12.337352630750422,-0.08788399850684092,762,3045,s6_train.csv
HO2_receive,8.0,5,8.133019148468511,11.871422753081605,9.080440039240054,12.832498420653424,-0.17695828842109806,762,3045,s6_train.csv
HO2_receive,8.0,10,8.133019148468511,11.871422753081605,8.86254116934954,12.521823988949514,-0.12065987526658573,762,3045,s6_train.csv
HO2_receive,8.0,20,8.133019148468511,11.871422753081605,9.281771349336095,13.05909129511157,-0.21889009732140696,762,3045,s6_train.csv
HO2_receive,8.0,50,8.133019148468511,11.871422753081605,8.982205295366823,12.689947818259292,-0.15095489736288736,762,3045,s6_train.csv
HO2_receive,,5,8.133019148468511,11.871422753081605,10.229669208015665,14.373269438915797,-0.4765554686489655,762,3045,s6_train.csv
HO2_receive,,10,8.133019148468511,11.871422753081605,9.434104222567145,13.429397876870778,-0.28899643041371714,762,3045,s6_train.csv
HO2_receive,,20,8.133019148468511,11.871422753081605,9.578558499256962,13.459443305157773,-0.2947705944547532,762,3045,s6_train.csv
HO2_receive,,50,8.133019148468511,11.871422753081605,9.197699243261702,12.831494194569682,-0.17677408641661785,762,3045,s6_train.csv
LL_delivery,2.0,5,6.377384962145881,9.667825116052313,5.4588874276437975,8.295698741491837,0.2634309221392923,1536,6142,s6_train.csv
LL_delivery,2.0,10,6.377384962145881,9.667825116052313,5.4588874276437975,8.295698741491837,0.2634309221392923,1536,6142,s6_train.csv
LL_delivery,2.0,20,6.377384962145881,9.667825116052313,5.4588874276437975,8.295698741491837,0.2634309221392923,1536,6142,s6_train.csv
LL_delivery,2.0,50,6.377384962145881,9.667825116052313,5.4588874276437975,8.295698741491837,0.2634309221392923,1536,6142,s6_train.csv
LL_delivery,3.0,5,6.377384962145881,9.667825116052313,5.7133982391715925,8.496626751805366,0.22731831314793205,1536,6142,s6_train.csv
LL_delivery,3.0,10,6.377384962145881,9.667825116052313,5.730241288594146,8.504692603035902,0.22585060275034097,1536,6142,s6_train.csv
LL_delivery,3.0,20,6.377384962145881,9.667825116052313,5.720379751205755,8.510701085001356,0.22475635842769925,1536,6142,s6_train.csv
