activity,max_depth,min_samples_leaf,baseline_mae_mean,baseline_rmse_mean,baseline_r2_mean,tree_mae_mean,tree_rmse_mean,tree_r2_mean,tree_mae_std,tree_rmse_std,tree_r2_std,n_folds
LL_receive,5.0,5,5.420253141420291,8.111229449318483,-0.0984444184353364,5.950114620652183,8.808131609918073,-0.3536632253789993,2.066507939213974,3.56171181116356,0.18556430167571508,5
LL_receive,5.0,10,5.420253141420291,8.111229449318483,-0.0984444184353364,5.9246565901297625,8.740426556925362,-0.35837313640694735,1.9068383351512423,3.3619080775070014,0.19830259354734192,5
LL_receive,8.0,5,5.420253141420291,8.111229449318483,-0.0984444184353364,6.022018559393433,9.024537364755542,-0.44832605783701496,1.974461223264748,3.5018873687293386,0.22888103014007097,5
LL_receive,,5,5.420253141420291,8.111229449318483,-0.0984444184353364,6.149388692115965,9.161176118736268,-0.5120140276331272,2.082430888094902,3.491710543427354,0.314967983689276,5
RMG_delivery,3.0,5,5.2712653311262825,8.656861163743926,-0.01841034729506088,5.176805717664157,8.64714529442649,-0.01725227252147299,0.4217947992550706,1.2457806377030303,0.0359695403265094,5
RMG_delivery,5.0,5,5.2712653311262825,8.656861163743926,-0.01841034729506088,5.2400685511109115,8.87727769050477,-0.07922490586554383,0.377505607320497,1.1545262461583088,0.09379326137060562,5
RMG_delivery,5.0,10,5.2712653311262825,8.656861163743926,-0.01841034729506088,5.163390219132575,8.663073773583596,-0.019904317916769543,0.3985205153914646,1.2704608651697225,0.021509176889004562,5
RMG_delivery,8.0,5,5.2712653311262825,8.656861163743926,-0.01841034729506088,5.562826840718795,9.495585216736762,-0.23618447121184843,0.35884177355063374,1.2096377128985294,0.10858173189297893,5
RMG_delivery,,5,5.2712653311262825,8.656861163743926,-0.01841034729506088,6.190547225080415,10.32027436527141,-0.46742117650627907,0.4351904589188632,1.257267991694607,0.18261648285936105,5
RMG_mixed,3.0,5,8.622174864023622,12.5481059443036,-0.009732964642139708,8.243212523410353,12.301934767780924,0.028220193310520503,0.3010641612242626,0.8216018999975434,0.042621736923580074,5
RMG_mixed,5.0,5,8.622174864023622,12.5481059443036,-0.009732964642139708,8.344039426636057,12.547105554741265,-0.012283427168945638,0.27669627317710377,0.7850004002126443,0.06140730089802944,5
RMG_mixed,5.0,10,8.622174864023622,12.5481059443036,-0.009732964642139708,8.324787306554239,12.480699255434923,-0.0006737837737974095,0.2807880563671627,0.8176419002739126,0.050879307226576735,5
RMG_mixed,8.0,5,8.622174864023622,12.5481059443036,-0.009732964642139708,8.742661900021165,13.420967232818024,-0.16065453401885565,0.5161689225764506,0.933591419863892,0.11624185203024283,5
RMG_mixed,,5,8.622174864023622,12.5481059443036,-0.009732964642139708,9.971723349717246,14.937376324665928,-0.4379296480409214,0.32452617871462774,0.7603048427835202,0.10730538804623455,5
RMG_receive,3.0,5,6.993849374328495,10.780798754255333,-0.007485068889650437,6.86235866855993,10.774319996710606,-0.006041476108733579,0.2934235411142466,1.0136359322442063,0.00831649885846099,5
RMG_receive,5.0,5,6.993849374328495,10.780798754255333,-0.007485068889650437,6.971633255930652,10.9711456665865,-0.04409529521263247,0.3047189565246104,1.0002737860329631,0.032069067621766784,5
RMG_receive,5.0,10,6.993849374328495,10.780798754255333,-0.007485068889650437,7.025020695915723,10.970503269481243,-0.04377660474101304,0.31788537632992736,1.0104454174666855,0.031078012968202052,5
RMG_receive,8.0,5,6.993849374328495,10.780798754255333,-0.007485068889650437,7.317634324102537,11.537246079180317,-0.15695401405181783,0.5317721926526665,1.1066864148104052,0.09823159070058142,5
RMG_receive,,5,6.993849374328495,10.780798754255333,-0.007485068889650437,8.38869549167259,13.057984914146115,-0.48766876221282224,0.43949735840400256,0.8925851496317806,0.11094884254046136,5
