seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases
50,calendar_demand_x1.00,2000,6178,1579,32.143,28.0,53.100000000000136,245.0,10.92716909436352,9.0,22.0,8.16846105129829,6.0,19.0,938,11.430703624733475,9.0,22.0,8.415778251599146,6.0,19.0,513,8.610136452241715,7.0,16.0,7.76803118908382,6.0,18.0,0.6778389194597298,0.5417708854427213,1355.0,88.51660516605166,0,0,2000,0,0,433,True,1.0,2000
50,calendar_demand_x1.20,2400,7405,1895,32.11833333333333,28.0,54.0,625.0,10.973087071240105,8.0,22.0,8.310290237467019,6.0,20.0,1122,10.93939393939394,8.0,22.0,8.368092691622103,6.0,19.899999999999977,618,9.22168284789644,7.0,18.0,8.441747572815533,6.0,21.0,0.6544393497290538,0.5318882867861608,1570.0,91.68152866242038,0,0,2400,0,0,460,True,1.2,2400
50,calendar_demand_x1.50,3000,9277,2358,32.58266666666667,28.0,55.0,820.0,11.270568278201866,8.0,22.0,8.195504664970313,6.0,19.0,1402,11.664764621968617,9.0,23.0,8.308131241084165,6.0,19.0,765,8.477124183006536,6.0,17.0,8.105882352941176,6.0,18.0,0.5685228409469824,0.5418472824274758,1705.0,105.5366568914956,0,0,3000,0,0,535,True,1.5,3000
50,calendar_demand_x2.00,4000,12293,3115,31.7315,28.0,54.0,295.0,10.924237560192616,8.0,22.0,8.212520064205458,6.0,19.0,1868,11.070663811563168,9.0,21.299999999999955,8.102783725910065,5.0,19.0,1001,8.793206793206792,7.0,18.0,8.515484515484516,6.0,20.0,0.1935483870967742,0.8852213053263316,774.0,310.0,0,0,4000,0,0,1331,True,2.0,4000
50,calendar_demand_x2.40,4800,14814,3713,31.885625,28.0,55.0,454.0,10.956369512523565,8.0,22.0,8.105036358739564,6.0,19.0,2200,11.129090909090909,8.0,22.0,8.17909090909091,6.0,19.0,1218,8.857142857142858,7.0,18.0,7.958949096880131,6.0,18.0,0.16149197749531152,0.884767659929152,775.0,371.53548387096777,0,0,4800,0,0,2086,True,2.4,4800
50,calendar_demand_x3.00,6000,18517,4619,32.023,28.0,54.0,329.0,11.088763801688676,8.0,22.0,8.09179476077073,6.0,19.0,2748,11.465793304221252,9.0,23.0,8.387554585152838,6.0,19.0,1512,8.58068783068783,6.0,17.0,7.699735449735449,5.0,18.0,0.13735622603767295,0.8858143023837306,824.0,436.8203883495146,0,0,6000,0,0,2050,True,3.0,6000
51,calendar_demand_x1.00,2000,6162,1503,32.5605,28.0,55.100000000000136,651.0,11.067864271457086,8.0,22.0,8.255489021956087,5.0,20.0,883,11.016987542468856,8.0,21.0,8.601359003397508,6.0,20.0,486,9.205761316872428,6.0,19.0,7.6460905349794235,5.0,18.0,0.6498249124562281,0.5597798899449725,1299.0,92.3325635103926,0,0,2000,0,0,474,True,1.0,2000
51,calendar_demand_x1.20,2400,7388,1797,32.1225,28.0,54.0,328.0,11.406232609905398,8.0,24.0,7.88536449638286,5.0,18.0,1071,11.491129785247432,9.0,23.0,7.953314659197012,5.0,18.0,579,9.081174438687393,7.0,19.0,7.656303972366149,6.0,18.0,0.5994164235097957,0.5573155481450605,1438.0,100.09735744089012,0,0,2400,0,0,495,True,1.2,2400
51,calendar_demand_x1.50,3000,9247,2251,32.781,28.0,56.0,807.0,11.463793869391381,9.0,22.0,8.30964015992892,6.0,19.0,1335,11.677902621722847,9.0,22.0,8.304119850187266,6.0,19.0,732,8.971311475409836,7.0,17.0,8.476775956284152,6.0,20.0,0.5365121707235745,0.5585195065021674,1609.0,111.83343691733997,0,0,3000,0,0,622,True,1.5,3000
51,calendar_demand_x2.00,4000,12305,3001,32.1785,28.0,55.0,301.0,10.90603132289237,8.0,21.0,8.415861379540154,6.0,19.0,1794,11.028985507246377,9.0,21.0,8.433667781493869,6.0,19.0,965,8.570984455958548,6.0,17.0,8.324352331606217,6.0,19.0,0.18229557389347337,0.8864716179044762,729.0,329.1358024691358,0,0,4000,0,0,1585,True,2.0,4000
51,calendar_demand_x2.40,4800,14812,3648,32.32145833333333,28.0,55.0,478.0,10.930921052631579,8.0,21.0,8.295504385964913,6.0,19.0,2197,11.159308147473828,9.0,21.0,8.113336367774238,5.0,19.0,1161,8.60034453057709,6.0,17.0,8.751076658053401,6.0,21.0,0.15461554490518858,0.8872681808710148,742.0,388.0592991913747,0,0,4800,0,0,2023,True,2.4,4800
51,calendar_demand_x3.00,6000,18536,4561,32.2955,28.0,56.0,601.0,11.267704450778337,8.0,23.0,8.136154352115764,5.0,18.0,2749,11.556566024008731,9.0,23.0,8.20516551473263,6.0,18.0,1462,8.625170998632012,6.5,17.0,8.014363885088919,5.0,19.0,0.14035672612102018,0.8851475245874313,842.0,427.48218527315913,0,0,6000,0,0,1942,True,3.0,6000
