variant,count,cum_coverage
"('Gate In', 'HO2_mixed', 'HO2_mixed', 'HO2_mixed', 'Gate Out')",2,0.9993628294842273
"('Gate In', 'HO2_mixed', 'HO2_mixed', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",2,0.9993851863444297
"('Gate In', 'LL_delivery', 'HO2_receive', 'RMG_receive', 'Gate Out')",2,0.9994075432046323
"('Gate In', 'HO2_receive', 'RMG_mixed', 'Gate Out')",2,0.9994299000648349
"('Gate In', 'LL_delivery', 'RMG_mixed', 'HO2_mixed', 'Gate Out')",2,0.9994522569250375
"('Gate In', 'LL_mixed', 'HO2_receive', 'RMG_receive', 'HO2_receive', 'Gate Out')",2,0.99947461378524
"('Gate In', 'LL_mixed', 'LL_mixed', 'HO2_mixed', 'HO2_mixed', 'Gate Out')",2,0.9994969706454425
"('Gate In', 'RMG_delivery', 'HO2_delivery', 'Gate Out')",2,0.9995193275056451
"('Gate In', 'RMG_receive', 'LL_receive', 'Gate Out')",2,0.9995416843658477
"('Gate In', 'RMG_receive', 'RMG_receive', 'RMG_receive', 'RMG_receive', 'Gate Out')",2,0.9995640412260502
"('Gate In', 'HO2_mixed', 'LL_delivery', 'HO2_mixed', 'Gate Out')",1,0.9995752196561515
"('Gate In', 'LL_delivery', 'LL_delivery', 'RMG_receive', 'RMG_receive', 'RMG_receive', 'RMG_receive', 'Gate Out')",1,0.9995863980862527
"('Gate In', 'LL_delivery', 'LL_delivery', 'LL_delivery', 'RMG_receive', 'RMG_receive', 'RMG_receive', 'Gate Out')",1,0.9995975765163541
"('Gate In', 'LL_delivery', 'LL_delivery', 'HO2_delivery', 'HO2_delivery', 'RMG_receive', 'RMG_receive', 'Gate Out')",1,0.9996087549464553
"('Gate In', 'LL_delivery', 'LL_delivery', 'HO2_delivery', 'HO2_delivery', 'Gate Out')",1,0.9996199333765566
"('Gate In', 'LL_delivery', 'HO2_mixed', 'RMG_receive', 'HO2_mixed', 'Gate Out')",1,0.9996311118066579
"('Gate In', 'LL_delivery', 'HO2_mixed', 'RMG_mixed', 'Gate Out')",1,0.9996422902367591
"('Gate In', 'HO2_receive', 'LL_mixed', 'Gate Out')",1,0.9996534686668604
"('Gate In', 'HO2_receive', 'HO2_receive', 'RMG_receive', 'RMG_receive', 'HO2_receive', 'HO2_receive', 'Gate Out')",1,0.9996646470969617
"('Gate In', 'HO2_mixed', 'HO2_mixed', 'HO2_mixed', 'RMG_receive', 'RMG_receive', 'RMG_receive', 'Gate Out')",1,0.999675825527063
"('Gate In', 'HO2_mixed', 'LL_delivery', 'Gate Out')",1,0.9996870039571643
"('Gate In', 'HO2_mixed', 'HO2_mixed', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",1,0.9996981823872655
"('Gate In', 'LL_delivery', 'RMG_mixed', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",1,0.9997093608173668
"('Gate In', 'HO2_delivery', 'RMG_mixed', 'HO2_delivery', 'Gate Out')",1,0.9997205392474681
"('Gate In', 'HO2_delivery', 'HO2_delivery', 'RMG_receive', 'RMG_receive', 'LL_receive', 'LL_receive', 'Gate Out')",1,0.9997317176775694
"('Gate In', 'HO2_delivery', 'HO2_delivery', 'RMG_delivery', 'RMG_delivery', 'Gate Out')",1,0.9997428961076706
"('Gate In', 'HO2_delivery', 'HO2_delivery', 'LL_delivery', 'LL_delivery', 'RMG_receive', 'RMG_receive', 'Gate Out')",1,0.9997540745377719
"('Gate In', 'HO2_delivery', 'HO2_delivery', 'HO2_delivery', 'HO2_delivery', 'Gate Out')",1,0.9997652529678732
"('Gate In', 'LL_delivery', 'RMG_mixed', 'RMG_mixed', 'Gate Out')",1,0.9997764313979745
