case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,target_utilization_bin,full_ratio,process_flow_type,target_demand,target_utilization,target_area,n_stops,n_receives,target_rank,gate_demand,rmg_demand,n_deliveries,rmg_utilization,mt_utilization,has_hazardous,target_rank_group,gate_utilization,has_reefer,primary_target_area,vc_utilization,target_demand_bin,vc_demand,mt_demand,n_containers,visit_complexity
case_25,Gate In,Res.GateIn,2026-04-20 18:28:00,2026-04-20 18:28:00,2026-04-20 18:28:00,very_high,0.0,delivery,21.73,0.8318,MT,1,0,,136.13,103.0,1,0.5082,0.8318,0,non_rmg,0.56,0,MT,0.5,very_high,41.53,21.73,1,3
case_25,RMG_delivery,T11,2026-04-20 18:28:00,2026-04-20 18:28:00,2026-04-20 18:34:00,very_high,0.0,delivery,21.73,0.8318,MT,1,0,,136.13,103.0,1,0.5082,0.8318,0,non_rmg,0.56,0,MT,0.5,very_high,41.53,21.73,1,3
case_12,Gate Out,Res.GateOut,2026-04-20 18:27:00,2026-04-20 18:29:00,2026-04-20 18:29:00,low,1.0,receive,10.73,0.2616,T09,1,1,20.0,171.0,127.0,0,0.55,0.8154,0,low,0.5646,0,T09,0.3846,high,32.2,22.07,1,4
case_15,RMG_delivery,T07,2026-04-20 18:24:00,2026-04-20 18:29:00,2026-04-20 18:31:00,very_high,0.0,delivery,23.88,0.8341,MT,1,0,,109.48,85.87,1,0.6159,0.8341,0,non_rmg,0.6359,0,MT,0.5259,very_high,15.57,23.88,1,3
case_24,RMG_receive,T25,2026-04-20 18:27:00,2026-04-20 18:29:00,2026-04-20 18:37:00,high,1.0,receive,6.9,0.7009,T13,1,1,7.0,167.8,116.33,0,0.5791,0.8582,0,mid,0.6091,0,T13,0.45,medium,19.77,33.03,1,4
case_14,LL_delivery,LL,2026-04-20 18:29:00,2026-04-20 18:30:00,2026-04-20 18:33:00,low,1.0,receive,30.17,0.4741,VC,1,1,,185.0,143.08,0,0.58,0.9,0,non_rmg,0.618,0,VC,0.4741,very_high,30.17,20.08,1,4
case_17,RMG_receive,T09,2026-04-20 18:24:00,2026-04-20 18:30:00,2026-04-20 18:34:00,high,1.0,receive,4.27,0.6637,T11,1,1,10.0,147.33,120.4,0,0.5868,0.9132,0,mid,0.62,0,T11,0.4663,low,32.2,5.73,1,5
case_26,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,medium,0.0,delivery,11.8,0.5172,T14,1,0,10.0,181.2,115.5,1,0.45,0.87,0,mid,0.5072,0,T14,0.35,very_high,36.3,38.7,1,2
case_27,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,low,1.0,receive,14.9,0.47,VC,1,1,,94.23,67.33,0,0.61,0.87,0,non_rmg,0.63,0,VC,0.47,very_high,14.9,26.03,1,7
case_27,LL_delivery,LL,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:34:00,low,1.0,receive,14.9,0.47,VC,1,1,,94.23,67.33,0,0.61,0.87,0,non_rmg,0.63,0,VC,0.47,very_high,14.9,26.03,1,7
case_28,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,high,1.0,receive,1.95,0.6916,T10,2,2,7.0,28.65,21.35,0,0.61,0.87,0,mid,0.63,0,T10,0.4784,low,2.95,6.0,2,10
case_29,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,low,1.0,receive,4.6,0.5027,T09,1,1,15.0,38.4,30.6,0,0.5613,0.81,0,low,0.6013,0,T09,0.5713,medium,9.4,8.27,1,4
case_30,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,high,0.0,delivery,9.77,0.6876,T14,1,0,3.0,71.97,69.6,1,0.5976,0.7048,0,top_3,0.5924,0,T14,0.47,high,6.0,3.2,1,3
case_26,RMG_receive,T13,2026-04-20 18:30:00,2026-04-20 18:31:00,2026-04-20 19:05:00,medium,0.0,delivery,11.8,0.5172,T14,1,0,10.0,181.2,115.5,1,0.45,0.87,0,mid,0.5072,0,T14,0.35,very_high,36.3,38.7,1,2
case_28,LL_delivery,LL,2026-04-20 18:30:00,2026-04-20 18:31:00,2026-04-20 18:34:00,high,1.0,receive,1.95,0.6916,T10,2,2,7.0,28.65,21.35,0,0.61,0.87,0,mid,0.63,0,T10,0.4784,low,2.95,6.0,2,10
case_31,Gate In,Res.GateIn,2026-04-20 18:31:00,2026-04-20 18:31:00,2026-04-20 18:31:00,very_high,0.5,mixed,5.13,0.7851,T21,1,1,1.0,92.97,96.37,1,0.61,0.8351,0,top_3,0.6351,1,T21,0.5251,medium,28.27,0.0,2,14
case_32,Gate In,Res.GateIn,2026-04-20 18:31:00,2026-04-20 18:31:00,2026-04-20 18:31:00,very_high,1.0,receive,25.48,0.75,MT,1,1,,173.02,141.5,0,0.6,0.75,0,non_rmg,0.59,0,MT,0.393,very_high,51.32,25.48,1,4
