case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,rmg_demand,target_demand,target_rank_group,target_area,full_ratio,has_reefer,rmg_utilization,target_utilization_bin,mt_utilization,gate_demand,vc_demand,n_receives,gate_utilization,n_containers,process_flow_type,n_stops,primary_target_area,target_utilization,target_demand_bin,vc_utilization,target_rank,n_deliveries,mt_demand,visit_complexity,has_hazardous
case_23,RMG_receive,T13,2026-04-20 18:30:00,2026-04-20 18:32:00,2026-04-20 18:38:00,122.4,4.6,low,T13,1.0,0,0.45,low,0.87,185.0,36.0,1,0.508,1,receive,1,T13,0.458,medium,0.35,12.0,0,37.2,5,0
case_1,Gate Out,Res.GateOut,2026-04-20 18:24:00,2026-04-20 18:33:00,2026-04-20 18:33:00,77.33,3.42,low,T09,1.0,0,0.62,medium,0.8179,112.42,9.58,1,0.64,1,receive,1,T09,0.5121,low,0.524,17.0,0,19.0,4,0
case_20,RMG_mixed,T23,2026-04-20 18:30:00,2026-04-20 18:33:00,2026-04-20 19:20:00,126.55,8.35,top_3,T23,1.0,0,0.6289,very_high,0.8222,166.0,22.0,1,0.64,2,mixed,1,T23,0.7689,high,0.5311,2.0,1,19.75,13,0
case_7,Gate Out,Res.GateOut,2026-04-20 18:29:00,2026-04-20 18:34:00,2026-04-20 18:34:00,135.5,21.27,non_rmg,MT,1.0,0,0.52,very_high,0.7568,151.5,24.93,1,0.55,1,receive,1,MT,0.7568,very_high,0.4684,,0,21.27,5,0
case_22,RMG_delivery,T14,2026-04-20 18:30:00,2026-04-20 18:34:00,2026-04-20 18:43:00,120.3,6.17,top_3,T14,1.0,0,0.5444,high,0.74,152.47,20.87,0,0.5544,1,delivery,1,T14,0.6744,medium,0.4056,3.0,1,32.5,4,0
case_3,RMG_receive,T21,2026-04-20 18:17:00,2026-04-20 18:35:00,2026-04-20 18:40:00,135.3,7.7,top_3,T21,1.0,0,0.4908,medium,0.8115,144.6,12.8,1,0.5308,1,receive,1,T21,0.63,high,0.4,2.0,0,11.5,5,0
case_10,RMG_receive,T06,2026-04-20 18:29:00,2026-04-20 18:36:00,2026-04-20 18:49:00,30.37,3.53,low,T06,1.0,0,0.61,low,0.8594,35.43,5.53,1,0.63,2,mixed,2,T06,0.4306,low,0.4906,15.0,1,7.9,11,0
case_13,RMG_delivery,T06,2026-04-20 18:23:00,2026-04-20 18:36:00,2026-04-20 18:47:00,32.0,4.0,low,T06,1.0,0,0.61,low,0.86,38.0,6.0,0,0.63,1,delivery,1,T06,0.43,low,0.49,12.0,1,10.0,3,0
case_16,LL_delivery,LL,2026-04-20 18:24:00,2026-04-20 18:36:00,2026-04-20 18:41:00,92.2,24.75,non_rmg,MT,0.0,0,0.5268,very_high,0.8334,114.7,12.55,0,0.5634,1,delivery,1,MT,0.8334,very_high,0.42,,1,24.75,3,0
case_18,RMG_receive,T16,2026-04-20 18:25:00,2026-04-20 18:36:00,2026-04-20 19:34:00,52.2,5.73,mid,T16,1.0,0,0.59,high,0.7645,98.97,11.35,1,0.6,1,receive,1,T16,0.65,medium,0.4655,8.0,0,12.28,5,0
