seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h
48,demand_plus_20pct,17892,55049,14332,31.62502794545048,28.0,53.0,261.0,10.924225509349707,8.0,22.0,7.913410549818588,5.0,18.0,8031,11.325986801145561,9.0,22.0,8.057153530070975,5.0,19.0,5298,8.814835787089468,7.0,18.0,7.669686674216686,5.0,17.0,0.7147727907886647,0.5983455368621095,12788.0,83.94275883640914,0,0
49,baseline,17892,54976,14453,31.48552425665102,28.0,54.0,453.0,10.74468968380267,8.0,21.0,7.9205701238497195,5.0,18.0,8039,11.20636895136211,9.0,22.0,8.000124393581292,5.0,19.0,5459,8.674848873420041,6.0,17.0,7.725041216339989,5.0,18.0,0.8295232239673579,0.5410541613101559,14841.0,72.33070547806751,0,0
49,t22_closed,17892,55063,14439,31.698915716521352,28.0,54.0,364.0,10.949026940923886,8.0,21.0,7.941824226054436,5.0,18.0,8035,11.319850653391413,9.0,22.0,8.089607965152458,6.0,19.0,5443,8.903362116479883,7.0,18.0,7.809112621715966,5.0,18.0,0.8295232239673579,0.5410541613101559,14841.0,72.33070547806751,0,0
49,demand_plus_20pct,17892,55009,14386,31.66208361278784,28.0,54.0,357.0,11.039899902683164,8.0,22.0,7.874947865980815,5.0,18.0,8029,11.460082202017686,9.0,22.0,7.954664341761116,5.0,19.0,5407,8.981690401331607,7.0,18.0,7.818753467727021,5.0,18.0,0.7157229892124531,0.5983455368621095,12805.0,83.8313158922296,0,0
50,baseline,17892,55055,14373,31.461658841940533,28.0,53.0,350.0,10.855005913866277,8.0,22.0,7.913170528073471,5.0,18.0,7997,11.334250343878955,9.0,22.0,8.170063773915219,5.0,19.0,5379,8.826361777282022,6.0,17.199999999999818,7.612567391708496,5.0,17.0,0.8281817673690682,0.5441283326812364,14817.0,72.44786394006884,0,0
50,t22_closed,17892,55071,14355,31.310418063939192,27.0,53.0,281.0,10.744270289097875,8.0,21.0,7.871682340647858,5.0,18.0,8006,11.048588558581065,9.0,21.0,8.034599050711966,5.0,19.0,5363,8.770277829573,7.0,17.0,7.664553421592393,5.0,18.0,0.8281817673690682,0.5441283326812364,14817.0,72.44786394006884,0,0
50,demand_plus_20pct,17892,55043,14345,31.577073552425666,28.0,53.0,279.0,10.910352039037992,8.0,22.0,7.945486232136633,5.0,18.0,8007,11.291120269763956,9.0,22.0,7.935931060322218,5.0,18.0,5330,8.740900562851783,6.0,17.0,7.980863039399625,5.0,18.0,0.714493320664021,0.6029288469062657,12783.0,83.9755925839005,0,0
51,baseline,17892,55054,14369,31.475240330874133,28.0,54.0,397.0,10.820725172245806,8.0,21.0,7.750504558424386,5.0,18.0,8074,11.277062174882339,9.0,22.0,7.897448600445876,5.0,18.0,5318,8.632568634825121,6.0,17.0,7.5107183151560735,5.0,18.0,0.8342183220613716,0.5442960147560226,14925.0,71.92361809045227,0,0
51,t22_closed,17892,55061,14372,31.506147999105746,28.0,54.0,371.0,10.854995825215697,8.0,22.0,7.877330921235736,5.0,18.0,8079,11.257457606139374,9.0,22.0,8.087882163634113,5.0,19.0,5318,8.867995487025198,7.0,17.300000000000182,7.631628431741256,5.0,18.0,0.8342183220613716,0.5442960147560226,14925.0,71.92361809045227,0,0
51,demand_plus_20pct,17892,55039,14335,31.81293315448245,28.0,54.0,315.0,10.803557725845831,8.0,22.0,8.122846180676666,5.0,19.0,8061,11.25083736509118,9.0,22.0,8.328371169830046,6.0,19.0,5290,8.66975425330813,6.0,17.0,7.902835538752363,5.0,19.0,0.7194678888826784,0.6022581186071209,12872.0,83.39496581727781,0,0
