scenario,metric,n,mean,std,ci95_lo,ci95_hi,half_width
demand_plus_20pct,rmg_events,10,14354.0,49.468283890904395,14318.612521492125,14389.387478507875,35.38747850787513
demand_plus_20pct,rmg_receive_events,10,8043.7,35.16642969904363,8018.543451656457,8068.856548343542,25.156548343542454
demand_plus_20pct,mean_rmg_receive_service_min,10,11.355819165274792,0.07267873511304283,11.303827930194464,11.40781040035512,0.05199123508032777
demand_plus_20pct,median_rmg_receive_service_min,10,9.0,0.0,9.0,9.0,0.0
demand_plus_20pct,p90_rmg_receive_service_min,10,22.0,0.0,22.0,22.0,0.0
demand_plus_20pct,mean_rmg_receive_pre_service_min,10,8.01982187995986,0.13220479102389873,7.925248269698505,8.114395490221215,0.0945736102613548
demand_plus_20pct,median_rmg_receive_pre_service_min,10,5.1,0.31622776601683794,4.8737842837201795,5.32621571627982,0.22621571627982018
demand_plus_20pct,p90_rmg_receive_pre_service_min,10,18.7,0.4830458915396479,18.354449785586354,19.045550214413645,0.3455502144136453
demand_plus_20pct,rmg_delivery_events,10,5330.7,36.9535744775342,5304.265005297195,5357.134994702805,26.434994702804943
demand_plus_20pct,mean_rmg_delivery_service_min,10,8.793686753456763,0.08932570423324064,8.729786994052821,8.857586512860705,0.06389975940394166
demand_plus_20pct,median_rmg_delivery_service_min,10,6.5,0.5270462766947299,6.122973806200299,6.877026193799701,0.3770261937997006
demand_plus_20pct,p90_rmg_delivery_service_min,10,17.5,0.5270462766947299,17.1229738062003,17.8770261937997,0.3770261937997006
demand_plus_20pct,mean_rmg_delivery_pre_service_min,10,7.818493319868037,0.11079448235772985,7.73923572176999,7.897750917966084,0.07925759809804678
demand_plus_20pct,median_rmg_delivery_pre_service_min,10,5.0,0.0,5.0,5.0,0.0
demand_plus_20pct,p90_rmg_delivery_pre_service_min,10,18.0,0.4714045207910317,17.662777520546342,18.337222479453658,0.3372224794536578
demand_plus_20pct,mean_inter_arrival_min,10,0.7145044994690066,0.005711094301477611,0.7104190287197949,0.7185899702182184,0.004085470749211728
demand_plus_20pct,zero_inter_arrival_share,10,0.6001509138673076,0.0022388718196270445,0.5985493214495543,0.6017525062850608,0.0016015924177532614
demand_plus_20pct,arrival_rate_per_elapsed_hour,10,83.97912884690892,0.674239981748363,83.4968066196837,84.46145107413415,0.4823222272252252
