seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,demand_multiplier
45,demand_x2.00,17892,55003,14304,33.83646322378717,29.0,58.0,251.0,10.841373042505593,8.0,22.0,10.828719239373601,6.0,24.0,8039,11.195795496952357,9.0,22.0,9.908321930588382,6.0,22.0,5272,8.813732928679817,6.0,18.0,12.224772382397573,6.0,27.0,0.34961712592923816,0.715331731037952,6255.0,171.61630695443645,0,0,2.0
45,demand_x2.40,17892,55023,14393,37.43628437290409,31.0,67.0,318.0,10.923365524907942,8.0,22.0,15.208365177516848,7.0,37.80000000000109,8121,11.388622090875508,9.0,22.0,12.469154045068342,6.0,29.0,5269,8.727652305940406,6.0,17.0,19.791990890111975,8.0,53.0,0.292884690626572,0.752892515790062,5240.0,204.8587786259542,0,0,2.4
45,demand_x3.00,17892,55048,14332,37.26682316118936,30.0,67.0,271.0,10.79367848171923,8.0,21.0,15.20094892548144,7.0,38.0,8053,11.063330435862412,9.0,21.0,12.908605488637775,6.0,30.0,5271,8.9159552267122,6.0,17.0,19.21191424777082,8.0,53.0,0.23609636129897715,0.7905650885920296,4224.0,254.13352272727272,0,0,3.0
46,demand_x1.00,17892,55093,14370,31.661468812877263,28.0,54.0,411.0,10.811203897007655,8.0,22.0,7.912178148921364,5.0,18.0,8089,11.203115341822228,9.0,22.0,8.043021387068858,5.0,19.0,5329,8.844623756802402,7.0,17.0,7.747607431037718,5.0,18.0,0.829076071767928,0.5428427701078755,14833.0,72.36971617339715,0,0,1.0
46,demand_x1.20,17892,55106,14374,31.485971383858708,28.0,53.0,257.0,10.897523305969111,8.0,22.0,7.811882565743704,5.0,18.0,8131,11.250399704833354,9.0,22.0,7.946501045381872,5.0,19.0,5288,8.880862329803328,7.0,17.300000000000182,7.602874432677761,5.0,18.0,0.7152199429880945,0.60097255603376,12796.0,83.89027821194124,0,0,1.2
46,demand_x1.50,17892,55048,14370,31.965682986809746,28.0,54.0,300.0,10.848364648573417,8.0,22.0,8.35838552540014,5.0,19.0,8104,11.192374136229022,9.0,22.0,8.361303060217177,5.0,19.699999999999818,5300,8.824528301886792,7.0,17.0,8.430943396226414,5.0,19.0,0.6013079201833325,0.6577049913364261,10758.0,99.7824874511991,0,0,1.5
46,demand_x2.00,17892,55062,14354,36.942879499217526,30.0,66.0,303.0,10.988853281315313,8.0,22.0,14.49909432910687,7.0,37.0,8128,11.442298228346457,9.0,22.0,12.066806102362206,6.0,28.0,5284,8.804882664647995,7.0,17.0,18.60673732021196,8.0,52.0,0.35039964227824044,0.7170644458107428,6269.0,171.23305152336897,0,0,2.0
46,demand_x2.40,17892,55084,14384,37.13028169014085,30.0,67.0,431.0,10.914418798665183,8.0,22.0,14.916991101223582,7.0,38.0,8095,11.355281037677578,9.0,22.0,12.82557134033354,6.0,31.0,5322,8.741450582487786,6.0,18.0,18.487222848553177,8.0,49.0,0.2934995249007881,0.754178078363423,5251.0,204.42963245096172,0,0,2.4
46,demand_x3.00,17892,55064,14372,37.74183992845965,31.0,68.0,492.0,10.83370442527136,8.0,21.0,15.596854995825217,7.0,40.0,8095,11.186411365040149,9.0,22.0,13.468807906114886,7.0,32.0,5323,8.865489385684764,7.0,17.0,19.17245913958294,8.0,52.0,0.2366553015482645,0.7930244256888939,4234.0,253.53330184222958,0,0,3.0
47,demand_x1.00,17892,55088,14425,31.63816230717639,28.0,54.0,293.0,10.981629116117851,8.0,22.0,7.911403812824957,5.0,18.0,8056,11.360476663356504,9.0,22.0,7.972318768619663,5.0,19.0,5383,8.973806427642579,6.0,18.0,7.857142857142857,6.0,18.0,0.8317589849645073,0.5412777374098708,14881.0,72.13628116390028,0,0,1.0
47,demand_x1.20,17892,55059,14373,31.57209926224011,28.0,54.0,202.0,10.993738259236068,8.0,22.0,7.967647672719683,5.0,18.0,8048,11.359219681908549,9.0,22.0,7.970924453280318,5.0,19.0,5349,8.953636193681062,7.0,17.0,7.9383062254627035,5.0,18.0,0.7172880219104578,0.5986250069867531,12833.0,83.64840645211564,0,0,1.2
47,demand_x1.50,17892,55088,14405,32.86765034652358,28.0,56.0,395.0,10.928080527594584,8.0,22.0,9.51655675112808,6.0,21.0,8054,11.362056121182022,9.0,22.0,9.024335733796871,6.0,20.0,5360,8.805783582089552,7.0,17.0,10.396268656716417,6.0,23.0,0.6033759991056956,0.6580403554859986,10795.0,99.44048170449283,0,0,1.5
47,demand_x2.00,17892,55107,14386,37.457970042477086,30.0,68.0,335.0,10.896149033782844,8.0,22.0,15.24836646739886,7.0,39.0,8041,11.28304937196866,9.0,22.0,12.572938689217759,6.0,29.0,5366,8.910920611256056,7.0,18.0,19.613865076407006,9.0,55.0,0.3517410988765301,0.7152199429880945,6293.0,170.5800095344033,0,0,2.0
47,demand_x2.40,17892,55118,14419,37.28185781354795,30.0,67.0,399.0,10.905888064359525,8.0,22.0,15.015049587350024,7.0,37.20000000000073,8062,11.454229719672538,9.0,22.0,12.799801538079882,6.0,30.0,5357,8.641963785700952,6.0,17.0,18.75490013067015,8.0,51.0,0.2946174053993628,0.7527248337152759,5271.0,203.65395560614684,0,0,2.4
47,demand_x3.00,17892,55080,14382,38.13520008942544,31.0,70.0,394.0,10.958072590738423,8.0,22.0,15.92991239048811,7.0,42.0,8063,11.418826739427013,9.0,22.0,13.672950514696764,7.0,33.0,5344,8.785179640718562,6.0,17.0,19.64258982035928,9.0,53.0,0.23754960594712426,0.7902856184673859,4250.0,252.57882352941178,0,0,3.0
