seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h
47,demand_plus_20pct,17892,55059,14373,31.57209926224011,28.0,54.0,202.0,10.993738259236068,8.0,22.0,7.967647672719683,5.0,18.0,8048,11.359219681908549,9.0,22.0,7.970924453280318,5.0,19.0,5349,8.953636193681062,7.0,17.0,7.9383062254627035,5.0,18.0,0.7172880219104578,0.5986250069867531,12833.0,83.64840645211564,0,0
48,baseline,17892,55059,14336,31.68622848200313,28.0,54.0,228.0,10.888671875,8.0,22.0,7.84814453125,5.0,18.0,8007,11.295491444985638,9.0,22.0,7.99063319595354,5.0,19.0,5314,8.70380127963869,6.0,17.0,7.739932254422281,5.0,18.0,0.8285171315186407,0.53999217483651,14823.0,72.41853875733658,0,0
48,t22_closed,17892,55025,14372,31.581768388106415,28.0,54.0,406.0,10.743459504592263,8.0,21.0,8.008001669913721,5.0,19.0,8022,11.154200947394665,9.0,21.0,8.2447020693094,6.0,19.0,5337,8.623383923552558,6.0,17.0,7.697208169383549,5.0,18.0,0.8285171315186407,0.53999217483651,14823.0,72.41853875733658,0,0
48,demand_plus_20pct,17892,55024,14334,31.7583836351442,28.0,54.0,249.0,10.986116924794196,8.0,22.0,8.102413841216688,5.0,19.0,8002,11.348912771807049,9.0,22.0,8.206448387903023,6.0,19.0,5319,8.860500094002631,7.0,18.0,7.968979131415679,5.0,19.0,0.7147727907886647,0.5983455368621095,12788.0,83.94275883640914,0,0
49,baseline,17892,55010,14381,31.904817795662865,28.0,54.0,239.0,10.911549961755094,8.0,22.0,7.93310618176761,5.0,18.0,8027,11.369502927619285,9.0,22.0,8.051202192599975,5.0,19.0,5398,8.821044831419044,7.0,17.0,7.758799555390886,5.0,18.0,0.8295232239673579,0.5410541613101559,14841.0,72.33070547806751,0,0
49,t22_closed,17892,55032,14419,31.749441090990388,28.0,54.0,271.0,10.766766072543172,8.0,22.0,8.13988487412442,5.0,19.0,8033,11.10008714054525,9.0,22.0,8.106684924685672,5.0,19.0,5430,8.950828729281769,7.0,18.0,8.278268876611419,5.0,19.0,0.8295232239673579,0.5410541613101559,14841.0,72.33070547806751,0,0
49,demand_plus_20pct,17892,55010,14438,31.505421417393247,28.0,53.0,527.0,10.853927136722538,8.0,22.0,7.7760770189776975,5.0,18.0,8056,11.3970953326713,9.0,22.0,7.8592353525322745,5.0,18.0,5425,8.75520737327189,7.0,17.0,7.639078341013825,5.0,17.0,0.7157229892124531,0.5983455368621095,12805.0,83.8313158922296,0,0
50,baseline,17892,55104,14330,31.42901855577912,27.0,53.0,479.0,10.794905792044661,8.0,22.0,7.818143754361479,5.0,18.0,7994,11.175381536152114,9.0,22.0,8.024518388791593,5.0,18.0,5341,8.875678711851712,7.0,18.0,7.599325968919678,5.0,18.0,0.8281817673690682,0.5441283326812364,14817.0,72.44786394006884,0,0
50,t22_closed,17892,55100,14358,31.54733959311424,28.0,54.0,627.0,10.866485582950272,8.0,22.0,7.735826716812927,5.0,18.0,7996,11.308904452226113,9.0,22.0,7.91695847923962,5.0,18.0,5368,8.838487332339792,7.0,17.0,7.472988077496274,5.0,17.0,0.8281817673690682,0.5441283326812364,14817.0,72.44786394006884,0,0
50,demand_plus_20pct,17892,55104,14346,31.569416498993963,28.0,54.0,1002.0,10.90708211348111,8.0,22.0,7.829220688693712,5.0,18.0,7998,11.208427106776695,9.0,22.0,8.002000500125032,5.0,19.0,5349,9.026173116470368,7.0,18.0,7.62834174612077,5.0,18.0,0.714493320664021,0.6029288469062657,12783.0,83.9755925839005,0,0
51,baseline,17892,55014,14360,31.700312989045383,28.0,54.0,489.0,10.816782729805015,8.0,21.0,7.914345403899722,5.0,19.0,8066,11.290354574758245,9.0,22.0,8.086164145797174,5.0,19.0,5320,8.695112781954887,6.0,17.0,7.667293233082707,5.0,18.0,0.8342183220613716,0.5442960147560226,14925.0,71.92361809045227,0,0
51,t22_closed,17892,55076,14391,31.552816901408452,28.0,54.0,821.0,10.831839344034465,8.0,21.0,7.927176707664512,5.0,18.0,8079,11.274043817304122,9.0,22.0,8.083302388909518,5.0,19.0,5337,8.7997002061083,7.0,17.0,7.738242458309912,5.0,18.0,0.8342183220613716,0.5442960147560226,14925.0,71.92361809045227,0,0
51,demand_plus_20pct,17892,55080,14391,31.610775765705345,28.0,53.0,237.0,10.900771315405462,8.0,22.0,7.863664790494059,5.0,18.0,8056,11.391509433962264,9.0,22.0,7.9527060575968225,5.0,18.0,5352,8.671711509715994,6.0,17.0,7.733183856502242,5.0,18.0,0.7194678888826784,0.6022581186071209,12872.0,83.39496581727781,0,0
