activity,max_depth,min_samples_leaf,baseline_mae_mean,baseline_rmse_mean,baseline_r2_mean,tree_mae_mean,tree_rmse_mean,tree_r2_mean,tree_mae_std,tree_rmse_std,tree_r2_std,n_folds
LL_receive,5.0,5,5.8970641300039635,9.149530036526212,-0.08773815201538446,6.406540504107417,9.839056564454854,-0.28014350286212797,1.4602972907847975,2.7204462629820965,0.08835706765170907,5
LL_receive,5.0,10,5.8970641300039635,9.149530036526212,-0.08773815201538446,6.349849868903981,9.670646622284426,-0.22927033361820898,1.468165308167388,2.7313828914392286,0.07815895763309427,5
LL_receive,8.0,5,5.8970641300039635,9.149530036526212,-0.08773815201538446,6.599405333063769,10.083184546122835,-0.3522053230718785,1.5399012189523213,2.7817845708309616,0.16280502235522476,5
LL_receive,,5,5.8970641300039635,9.149530036526212,-0.08773815201538446,6.643573617952929,10.097983381407868,-0.36065098384270117,1.539630345918273,2.748033945483018,0.17267847608304884,5
RMG_delivery,3.0,5,5.417276131491425,8.990282877996094,-0.011230374523427056,5.240109520364083,8.903944491606822,0.009213490784641,0.5975814891320158,1.6158697903587096,0.017199264853077052,5
RMG_delivery,5.0,5,5.417276131491425,8.990282877996094,-0.011230374523427056,5.403429981593028,9.135306319172118,-0.05302836078510409,0.42851637015345945,1.4224395927183606,0.04984196846810716,5
RMG_delivery,5.0,10,5.417276131491425,8.990282877996094,-0.011230374523427056,5.401538088607786,9.104997146953092,-0.04526145693997032,0.43056856488338957,1.4405995796154043,0.04914981591886186,5
RMG_delivery,8.0,5,5.417276131491425,8.990282877996094,-0.011230374523427056,5.7707573519685464,9.661103209823949,-0.1957594866929174,0.703044430063907,1.362668319558411,0.2054355363335989,5
RMG_delivery,,5,5.417276131491425,8.990282877996094,-0.011230374523427056,6.278337160667205,10.311350938266507,-0.35528011652756863,0.7041981843627747,1.4242928587957977,0.1679142700330547,5
RMG_mixed,3.0,5,8.962075472913298,13.296926694301558,-0.019064902193417367,8.504840909510902,12.969239231459815,0.029604924703513967,0.6583982759285416,1.5192596970180925,0.027848798946324246,5
RMG_mixed,5.0,5,8.962075472913298,13.296926694301558,-0.019064902193417367,8.589318085865477,13.187054759960892,-0.0057289764105377785,0.5897736931664468,1.4428840816401958,0.052575083604552424,5
RMG_mixed,5.0,10,8.962075472913298,13.296926694301558,-0.019064902193417367,8.519519302962808,13.0313577072502,0.018689180190852216,0.5734895889903981,1.4271683133577056,0.029572422040888738,5
RMG_mixed,8.0,5,8.962075472913298,13.296926694301558,-0.019064902193417367,8.973971329545913,13.860615889261648,-0.1193549483866104,0.5545676217901673,1.2030575394748853,0.10666491581583426,5
RMG_mixed,,5,8.962075472913298,13.296926694301558,-0.019064902193417367,10.256702072466206,15.413592622496154,-0.38786959577982266,0.6212881695161904,1.1410438422831237,0.13974604337048863,5
RMG_receive,3.0,5,7.181881203749787,11.304422898772405,-0.009630137563583751,7.018967595275645,11.261443938989787,-0.0026515936847679054,0.4710366031979452,1.3891511780868384,0.014164558379087488,5
RMG_receive,5.0,5,7.181881203749787,11.304422898772405,-0.009630137563583751,7.180116091192547,11.518347394126005,-0.05506804626502704,0.3566559003043507,1.1746918470713619,0.05490958919430025,5
RMG_receive,5.0,10,7.181881203749787,11.304422898772405,-0.009630137563583751,7.167411853198763,11.476827575659685,-0.04681072067591263,0.3691738701375386,1.1845452596802164,0.04584114226491093,5
RMG_receive,8.0,5,7.181881203749787,11.304422898772405,-0.009630137563583751,7.3385933161205426,11.84709367962978,-0.1191389022707002,0.3912851781896489,1.0887389566175274,0.07410484081214552,5
RMG_receive,,5,7.181881203749787,11.304422898772405,-0.009630137563583751,8.481622633549543,13.36781858547187,-0.4259979330301342,0.540349866743018,1.1746398810975691,0.09486057980558094,5
