bucket_minutes,fold,model,mae,rmse,r2,max_depth,min_samples_leaf
30,2,pooled_mean,27.399546968687538,32.27276008314044,-0.007592279917446376,,
30,2,time_aware_tree,11.904208379524835,18.221340097688234,0.6788016978793987,3.0,5.0
30,2,time_aware_tree,11.917031260464803,19.23350820114905,0.6421264293708444,5.0,5.0
30,2,time_aware_tree,11.907092207487777,19.232832552322808,0.642151572221374,5.0,10.0
30,2,time_aware_tree,12.14089310829817,19.59346369934267,0.6286058610970383,8.0,5.0
30,2,time_aware_tree,12.195218002812938,19.769172656671838,0.6219148663001015,,5.0
30,3,pooled_mean,27.97859479448158,32.51111876400819,-0.0286743986524165,,
30,3,time_aware_tree,18.185663425231425,27.419186769000646,0.2683165330710978,3.0,5.0
30,3,time_aware_tree,17.489571118052133,27.247814391555426,0.2774341254997229,5.0,5.0
30,3,time_aware_tree,17.549030316640145,27.29331904011455,0.2750186978931254,5.0,10.0
30,3,time_aware_tree,17.433321612751996,27.1013300840079,0.2851822736611288,8.0,5.0
30,3,time_aware_tree,17.390928270042192,27.08836989845041,0.28586577924738366,,5.0
30,4,pooled_mean,28.709091960002308,34.17175119397056,-0.002789800188063296,,
30,4,time_aware_tree,10.01222520931709,16.912584499682165,0.7543620888066174,3.0,5.0
30,4,time_aware_tree,9.194833284834376,16.49005194977121,0.766482472098616,5.0,5.0
30,4,time_aware_tree,9.194833284834376,16.49005194977121,0.766482472098616,5.0,10.0
30,4,time_aware_tree,9.25723452883263,16.617382240726975,0.7628622710265127,8.0,5.0
30,4,time_aware_tree,9.283473980309424,16.641015034778285,0.762187289598041,,5.0
30,5,pooled_mean,28.63070563038544,36.770836361842896,-0.06017410953922053,,
30,5,time_aware_tree,14.226001951634862,21.803696476325186,0.6272390299093797,3.0,5.0
30,5,time_aware_tree,13.342244669615592,21.10905891400627,0.6506120505692268,5.0,5.0
30,5,time_aware_tree,13.342244669615592,21.10905891400627,0.6506120505692268,5.0,10.0
30,5,time_aware_tree,13.31545207159282,21.061174652754055,0.6521953715837189,8.0,5.0
30,5,time_aware_tree,13.314760397830016,21.070722376832013,0.6518799575215011,,5.0
60,1,pooled_mean,57.9030245009396,63.28252979781417,-0.03767401073782772,,
60,1,time_aware_tree,16.09085794655415,25.01393216747225,0.8378723041184988,3.0,5.0
60,1,time_aware_tree,15.827816414002436,25.75328606454105,0.8281464218422615,5.0,5.0
60,1,time_aware_tree,17.10801687763713,26.02511321426448,0.8244994305486844,5.0,10.0
60,1,time_aware_tree,14.808765320474182,23.78177878437969,0.8534513084804836,8.0,5.0
60,1,time_aware_tree,14.963828611613422,23.872619049121994,0.8523296138202718,,5.0
60,2,pooled_mean,52.75297357317343,59.10943969705249,-0.009066205665293703,,
60,2,time_aware_tree,17.24562961651569,25.60997125313102,0.8105807301418892,3.0,5.0
60,2,time_aware_tree,18.167306275534123,28.41494465429177,0.7668155396474013,5.0,5.0
60,2,time_aware_tree,18.22544035898466,28.473145968000253,0.7658593145870805,5.0,10.0
60,2,time_aware_tree,18.144022503516172,29.215281530341606,0.7534947758309172,8.0,5.0
60,2,time_aware_tree,18.31983122362869,29.46327499839922,0.7492921024417742,,5.0
