activity,max_depth,min_samples_leaf,baseline_mae,baseline_rmse,tree_mae,tree_rmse,tree_r2,n_test,n_train
LL_delivery,5.0,5,6.523716841464717,10.064157378227735,5.720762482810608,8.956903511972369,0.195322127435549,2048,8191
LL_delivery,5.0,10,6.523716841464717,10.064157378227735,5.675886165013996,8.815121313618842,0.2205955980574008,2048,8191
LL_delivery,5.0,20,6.523716841464717,10.064157378227735,5.538057603198718,8.608709938763536,0.25666870508664896,2048,8191
LL_delivery,5.0,50,6.523716841464717,10.064157378227735,5.642350014444018,8.716723422385238,0.23789852899746922,2048,8191
LL_delivery,8.0,5,6.523716841464717,10.064157378227735,5.8656107417341286,9.570060592745442,0.08138053747330742,2048,8191
LL_delivery,8.0,10,6.523716841464717,10.064157378227735,5.721905707930434,8.860845535652425,0.21248905356236936,2048,8191
LL_delivery,8.0,20,6.523716841464717,10.064157378227735,5.499531152671032,8.642680645075014,0.2507906323997141,2048,8191
LL_delivery,8.0,50,6.523716841464717,10.064157378227735,5.756954880619908,8.876593045039977,0.20968743473054086,2048,8191
LL_delivery,,5,6.523716841464717,10.064157378227735,6.785941181485615,10.338948153311291,-0.0721584737755947,2048,8191
LL_delivery,,10,6.523716841464717,10.064157378227735,6.233862891356875,9.464101433544041,0.10160972930323808,2048,8191
LL_delivery,,20,6.523716841464717,10.064157378227735,5.873639556298478,9.05799901092396,0.17705501070573448,2048,8191
LL_delivery,,50,6.523716841464717,10.064157378227735,5.79679364242526,8.827864841579958,0.21834048646776516,2048,8191
LL_mixed,2.0,5,5.286558358572154,7.546703670917089,4.923162135462356,7.088869672737997,0.10457228434795662,956,3824
LL_mixed,2.0,10,5.286558358572154,7.546703670917089,4.923162135462356,7.088869672737997,0.10457228434795662,956,3824
LL_mixed,2.0,20,5.286558358572154,7.546703670917089,4.923162135462356,7.088869672737997,0.10457228434795662,956,3824
LL_mixed,2.0,50,5.286558358572154,7.546703670917089,4.92170081783995,6.97273787905177,0.1336702519182087,956,3824
LL_mixed,3.0,5,5.286558358572154,7.546703670917089,4.843427016744146,7.135779227601476,0.09268235110477652,956,3824
LL_mixed,3.0,10,5.286558358572154,7.546703670917089,4.798856489642237,7.057944233631033,0.11236791158268966,956,3824
LL_mixed,3.0,20,5.286558358572154,7.546703670917089,4.733059985103578,6.902562824981045,0.1510203409813906,956,3824
LL_mixed,3.0,50,5.286558358572154,7.546703670917089,4.733616001611477,6.787200997087812,0.17916102392845645,956,3824
LL_mixed,5.0,5,5.286558358572154,7.546703670917089,4.853054784985861,7.27503597913301,0.05692368105951928,956,3824
LL_mixed,5.0,10,5.286558358572154,7.546703670917089,4.782598243072065,7.076857739222624,0.10760427842765086,956,3824
LL_mixed,5.0,20,5.286558358572154,7.546703670917089,4.748250105295411,6.886664348710585,0.15492669840859574,956,3824
LL_mixed,5.0,50,5.286558358572154,7.546703670917089,4.731197222435025,6.740197733738689,0.1904907354333888,956,3824
LL_mixed,8.0,5,5.286558358572154,7.546703670917089,5.157438755496959,7.498544393015942,-0.001914086262364778,956,3824
LL_mixed,8.0,10,5.286558358572154,7.546703670917089,4.910201808410022,7.139066885201524,0.09184610412066374,956,3824
