case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,n_deliveries,has_reefer,has_hazardous,vc_utilization,target_rank_group,target_utilization,gate_demand,n_receives,target_rank,visit_complexity,mt_demand,full_ratio,rmg_demand,target_utilization_bin,rmg_utilization,target_area,target_demand,n_containers,process_flow_type,primary_target_area,n_stops,vc_demand,target_demand_bin,mt_utilization,gate_utilization
case_16,LL_delivery,LL,2026-04-20 18:24:00,2026-04-20 18:30:00,2026-04-20 18:43:00,1,0,0,0.42,non_rmg,0.8334,114.7,0,,3,24.75,0.0,92.2,very_high,0.5268,MT,24.75,1,delivery,MT,1,12.55,very_high,0.8334,0.5634
case_20,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,1,0,0,0.5311,top_3,0.7689,166.0,1,2.0,13,19.75,1.0,126.55,very_high,0.6289,T23,8.35,2,mixed,T23,1,22.0,high,0.8222,0.64
case_21,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0,1,0,0.5235,mid,0.7135,71.2,1,8.0,7,0.0,1.0,82.4,high,0.61,T19,1.8,1,receive,T19,1,17.8,low,0.8335,0.6335
case_22,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,1,0,0,0.4056,top_3,0.6744,152.47,0,3.0,4,32.5,1.0,120.3,high,0.5444,T14,6.17,1,delivery,T14,1,20.87,medium,0.74,0.5544
case_23,Gate In,Res.GateIn,2026-04-20 18:30:00,2026-04-20 18:30:00,2026-04-20 18:30:00,0,0,0,0.35,low,0.458,185.0,1,12.0,5,37.2,1.0,122.4,low,0.45,T13,4.6,1,receive,T13,1,36.0,medium,0.87,0.508
case_17,RMG_receive,T11,2026-04-20 18:25:00,2026-04-20 18:31:00,2026-04-20 18:43:00,0,0,0,0.4663,mid,0.6637,147.33,1,10.0,5,5.73,1.0,120.4,high,0.5868,T11,4.27,1,receive,T11,1,32.2,low,0.9132,0.62
case_19,RMG_receive,T25,2026-04-20 18:29:00,2026-04-20 18:32:00,2026-04-20 18:38:00,0,0,0,0.53,mid,0.7082,47.97,1,8.0,5,12.27,1.0,37.5,high,0.6291,T25,2.9,1,receive,T25,1,6.73,low,0.82,0.6491
case_9,Gate Out,Res.GateOut,2026-04-20 18:31:00,2026-04-20 18:34:00,2026-04-20 18:34:00,0,0,0,0.42,mid,0.7,73.08,1,5.0,4,6.78,1.0,71.15,high,0.56,T20,3.65,1,receive,T20,1,7.3,low,0.9145,0.6
case_13,RMG_delivery,T06,2026-04-20 18:23:00,2026-04-20 18:34:00,2026-04-20 19:37:00,1,0,0,0.49,low,0.43,38.0,0,12.0,3,10.0,1.0,32.0,low,0.61,T06,4.0,1,delivery,T06,1,6.0,low,0.86,0.63
case_12,Gate Out,Res.GateOut,2026-04-20 18:27:00,2026-04-20 18:36:00,2026-04-20 18:36:00,0,0,0,0.3846,low,0.2616,171.0,1,20.0,4,22.07,1.0,127.0,low,0.55,T09,10.73,1,receive,T09,1,32.2,high,0.8154,0.5646
case_20,RMG_mixed,T23,2026-04-20 18:30:00,2026-04-20 18:37:00,2026-04-20 19:19:00,1,0,0,0.5311,top_3,0.7689,166.0,1,2.0,13,19.75,1.0,126.55,very_high,0.6289,T23,8.35,2,mixed,T23,1,22.0,high,0.8222,0.64
case_15,Gate Out,Res.GateOut,2026-04-20 18:29:00,2026-04-20 18:38:00,2026-04-20 18:38:00,1,0,0,0.5259,non_rmg,0.8341,109.48,0,,3,23.88,0.0,85.87,very_high,0.6159,MT,23.88,1,delivery,MT,1,15.57,very_high,0.8341,0.6359
case_21,RMG_receive,T19,2026-04-20 18:30:00,2026-04-20 18:38:00,2026-04-20 18:41:00,0,1,0,0.5235,mid,0.7135,71.2,1,8.0,7,0.0,1.0,82.4,high,0.61,T19,1.8,1,receive,T19,1,17.8,low,0.8335,0.6335
case_2,RMG_delivery,T11,2026-04-20 18:17:00,2026-04-20 18:40:00,2026-04-20 18:45:00,1,0,0,0.5286,low,0.6895,182.6,0,11.0,4,27.17,1.0,152.45,high,0.6195,T11,9.9,1,delivery,T11,1,24.1,high,0.85,0.6395
case_18,Gate Out,Res.GateOut,2026-04-20 18:30:00,2026-04-20 18:41:00,2026-04-20 18:41:00,0,0,0,0.4655,mid,0.65,98.97,1,8.0,5,12.28,1.0,52.2,high,0.59,T16,5.73,1,receive,T16,1,11.35,medium,0.7645,0.6
case_10,HO2_delivery,HO2,2026-04-20 18:20:00,2026-04-20 18:44:00,2026-04-20 19:00:00,1,0,0,0.4906,low,0.4306,35.43,1,15.0,11,7.9,1.0,30.37,low,0.61,T06,3.53,2,mixed,T06,2,5.53,low,0.8594,0.63
case_19,Gate Out,Res.GateOut,2026-04-20 18:38:00,2026-04-20 18:44:00,2026-04-20 18:44:00,0,0,0,0.53,mid,0.7082,47.97,1,8.0,5,12.27,1.0,37.5,high,0.6291,T25,2.9,1,receive,T25,1,6.73,low,0.82,0.6491
case_21,Gate Out,Res.GateOut,2026-04-20 18:41:00,2026-04-20 18:44:00,2026-04-20 18:44:00,0,1,0,0.5235,mid,0.7135,71.2,1,8.0,7,0.0,1.0,82.4,high,0.61,T19,1.8,1,receive,T19,1,17.8,low,0.8335,0.6335
case_6,LL_receive,LL,2026-04-20 18:42:00,2026-04-20 18:45:00,2026-04-20 19:10:00,1,0,0,0.473,low,0.4791,108.67,1,16.0,8,11.95,0.5,64.97,low,0.5661,T11,5.22,2,mixed,T11,2,18.83,medium,0.847,0.603
case_8,HO2_receive,HO2,2026-04-20 18:19:00,2026-04-20 18:45:00,2026-04-20 18:52:00,0,0,0,0.47,non_rmg,0.47,196.83,1,,5,39.17,1.0,136.08,low,0.6127,VC,31.83,1,receive,VC,1,31.83,very_high,0.8727,0.6327
case_16,Gate Out,Res.GateOut,2026-04-20 18:43:00,2026-04-20 18:45:00,2026-04-20 18:45:00,1,0,0,0.42,non_rmg,0.8334,114.7,0,,3,24.75,0.0,92.2,very_high,0.5268,MT,24.75,1,delivery,MT,1,12.55,very_high,0.8334,0.5634
case_24,Gate In,Res.GateIn,2026-04-20 18:46:00,2026-04-20 18:46:00,2026-04-20 18:46:00,0,0,0,0.45,mid,0.7009,167.8,1,7.0,4,33.03,1.0,116.33,high,0.5791,T13,6.9,1,receive,T13,1,19.77,medium,0.8582,0.6091
case_25,Gate In,Res.GateIn,2026-04-20 18:46:00,2026-04-20 18:46:00,2026-04-20 18:46:00,1,0,0,0.5,non_rmg,0.8318,136.13,0,,3,21.73,0.0,103.0,very_high,0.5082,MT,21.73,1,delivery,MT,1,41.53,very_high,0.8318,0.56
case_24,RMG_receive,T13,2026-04-20 18:46:00,2026-04-20 18:47:00,2026-04-20 19:05:00,0,0,0,0.45,mid,0.7009,167.8,1,7.0,4,33.03,1.0,116.33,high,0.5791,T13,6.9,1,receive,T13,1,19.77,medium,0.8582,0.6091
case_26,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,1,0,0,0.35,mid,0.5172,181.2,0,10.0,2,38.7,0.0,115.5,medium,0.45,T14,11.8,1,delivery,T14,1,36.3,very_high,0.87,0.5072
case_27,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,0,0,0,0.47,non_rmg,0.47,94.23,1,,7,26.03,1.0,67.33,low,0.61,VC,14.9,1,receive,VC,1,14.9,very_high,0.87,0.63
case_28,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,0,0,0,0.4784,mid,0.6916,28.65,2,7.0,10,6.0,1.0,21.35,high,0.61,T10,1.95,2,receive,T10,2,2.95,low,0.87,0.63
case_29,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,0,0,0,0.5713,low,0.5027,38.4,1,15.0,4,8.27,1.0,30.6,low,0.5613,T09,4.6,1,receive,T09,1,9.4,medium,0.81,0.6013
case_22,RMG_delivery,T14,2026-04-20 18:30:00,2026-04-20 18:49:00,2026-04-20 18:53:00,1,0,0,0.4056,top_3,0.6744,152.47,0,3.0,4,32.5,1.0,120.3,high,0.5444,T14,6.17,1,delivery,T14,1,20.87,medium,0.74,0.5544
case_25,LL_delivery,LL,2026-04-20 18:46:00,2026-04-20 18:49:00,2026-04-20 18:55:00,1,0,0,0.5,non_rmg,0.8318,136.13,0,,3,21.73,0.0,103.0,very_high,0.5082,MT,21.73,1,delivery,MT,1,41.53,very_high,0.8318,0.56
case_30,Gate In,Res.GateIn,2026-04-20 18:49:00,2026-04-20 18:49:00,2026-04-20 18:49:00,1,0,0,0.47,top_3,0.6876,71.97,0,3.0,3,3.2,0.0,69.6,high,0.5976,T14,9.77,1,delivery,T14,1,6.0,high,0.7048,0.5924
case_23,RMG_receive,T13,2026-04-20 18:30:00,2026-04-20 18:50:00,2026-04-20 18:58:00,0,0,0,0.35,low,0.458,185.0,1,12.0,5,37.2,1.0,122.4,low,0.45,T13,4.6,1,receive,T13,1,36.0,medium,0.87,0.508
case_31,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,1,1,0,0.5251,top_3,0.7851,92.97,1,1.0,14,0.0,0.5,96.37,very_high,0.61,T21,5.13,2,mixed,T21,1,28.27,medium,0.8351,0.6351
case_29,RMG_receive,T09,2026-04-20 18:47:00,2026-04-20 18:50:00,2026-04-20 18:56:00,0,0,0,0.5713,low,0.5027,38.4,1,15.0,4,8.27,1.0,30.6,low,0.5613,T09,4.6,1,receive,T09,1,9.4,medium,0.81,0.6013
case_14,HO2_receive,HO2,2026-04-20 18:23:00,2026-04-20 18:51:00,2026-04-20 19:29:00,0,0,0,0.4741,non_rmg,0.4741,185.0,1,,4,20.08,1.0,143.08,low,0.58,VC,30.17,1,receive,VC,1,30.17,very_high,0.9,0.618
case_11,Gate Out,Res.GateOut,2026-04-20 18:32:00,2026-04-20 18:52:00,2026-04-20 18:52:00,1,0,0,0.4698,mid,0.69,150.75,0,7.0,3,5.05,0.0,116.3,high,0.5851,T26,8.85,1,delivery,T26,1,40.4,high,0.9149,0.62
case_28,HO2_delivery,HO2,2026-04-20 18:47:00,2026-04-20 18:52:00,2026-04-20 18:53:00,0,0,0,0.4784,mid,0.6916,28.65,2,7.0,10,6.0,1.0,21.35,high,0.61,T10,1.95,2,receive,T10,2,2.95,low,0.87,0.63
case_32,Gate In,Res.GateIn,2026-04-20 18:52:00,2026-04-20 18:52:00,2026-04-20 18:52:00,0,0,0,0.393,non_rmg,0.75,173.02,1,,4,25.48,1.0,141.5,very_high,0.6,MT,25.48,1,receive,MT,1,51.32,very_high,0.75,0.59
case_33,Gate In,Res.GateIn,2026-04-20 18:52:00,2026-04-20 18:52:00,2026-04-20 18:52:00,1,0,0,0.4105,non_rmg,0.8111,156.5,0,,2,39.62,0.0,136.3,very_high,0.52,MT,39.62,1,delivery,MT,1,18.22,very_high,0.8111,0.5505
case_32,LL_receive,LL,2026-04-20 18:52:00,2026-04-20 18:53:00,2026-04-20 19:04:00,0,0,0,0.393,non_rmg,0.75,173.02,1,,4,25.48,1.0,141.5,very_high,0.6,MT,25.48,1,receive,MT,1,51.32,very_high,0.75,0.59
case_34,Gate In,Res.GateIn,2026-04-20 18:53:00,2026-04-20 18:53:00,2026-04-20 18:53:00,1,0,0,0.5,mid,0.586,35.67,0,7.0,4,2.92,1.0,26.0,medium,0.47,T16,3.83,1,delivery,T16,1,9.83,low,0.86,0.54
case_33,LL_delivery,LL,2026-04-20 18:52:00,2026-04-20 18:53:00,2026-04-20 19:01:00,1,0,0,0.4105,non_rmg,0.8111,156.5,0,,2,39.62,0.0,136.3,very_high,0.52,MT,39.62,1,delivery,MT,1,18.22,very_high,0.8111,0.5505
case_31,RMG_mixed,T21,2026-04-20 18:50:00,2026-04-20 18:54:00,2026-04-20 18:57:00,1,1,0,0.5251,top_3,0.7851,92.97,1,1.0,14,0.0,0.5,96.37,very_high,0.61,T21,5.13,2,mixed,T21,1,28.27,medium,0.8351,0.6351
case_35,Gate In,Res.GateIn,2026-04-20 18:54:00,2026-04-20 18:54:00,2026-04-20 18:54:00,0,0,0,0.3669,low,0.5831,163.17,1,11.0,4,24.2,1.0,135.0,medium,0.52,T16,5.77,1,receive,T16,1,10.13,medium,0.8769,0.5569
case_35,RMG_receive,T16,2026-04-20 18:54:00,2026-04-20 18:54:00,2026-04-20 19:45:00,0,0,0,0.3669,low,0.5831,163.17,1,11.0,4,24.2,1.0,135.0,medium,0.52,T16,5.77,1,receive,T16,1,10.13,medium,0.8769,0.5569
case_36,Gate In,Res.GateIn,2026-04-20 18:55:00,2026-04-20 18:55:00,2026-04-20 18:55:00,0,0,0,0.42,top_3,0.6179,19.2,1,2.0,5,6.15,1.0,17.9,medium,0.5279,T18,0.15,1,receive,T18,1,0.15,low,0.8521,0.56
case_8,Gate Out,Res.GateOut,2026-04-20 18:52:00,2026-04-20 18:56:00,2026-04-20 18:56:00,0,0,0,0.47,non_rmg,0.47,196.83,1,,5,39.17,1.0,136.08,low,0.6127,VC,31.83,1,receive,VC,1,31.83,very_high,0.8727,0.6327
case_17,Gate Out,Res.GateOut,2026-04-20 18:43:00,2026-04-20 18:56:00,2026-04-20 18:56:00,0,0,0,0.4663,mid,0.6637,147.33,1,10.0,5,5.73,1.0,120.4,high,0.5868,T11,4.27,1,receive,T11,1,32.2,low,0.9132,0.62
case_28,LL_receive,LL,2026-04-20 18:53:00,2026-04-20 18:56:00,2026-04-20 19:09:00,0,0,0,0.4784,mid,0.6916,28.65,2,7.0,10,6.0,1.0,21.35,high,0.61,T10,1.95,2,receive,T10,2,2.95,low,0.87,0.63
case_37,Gate In,Res.GateIn,2026-04-20 18:56:00,2026-04-20 18:56:00,2026-04-20 18:56:00,1,0,0,0.5798,mid,0.7699,85.53,1,4.0,11,18.2,0.5,99.5,very_high,0.59,T21,4.93,2,mixed,T21,1,30.63,medium,0.7899,0.62
case_1,Gate Out,Res.GateOut,2026-04-20 18:45:00,2026-04-20 18:57:00,2026-04-20 18:57:00,0,0,0,0.524,low,0.5121,112.42,1,17.0,4,19.0,1.0,77.33,medium,0.62,T09,3.42,1,receive,T09,1,9.58,low,0.8179,0.64
case_27,HO2_receive,HO2,2026-04-20 18:47:00,2026-04-20 18:57:00,2026-04-20 19:25:00,0,0,0,0.47,non_rmg,0.47,94.23,1,,7,26.03,1.0,67.33,low,0.61,VC,14.9,1,receive,VC,1,14.9,very_high,0.87,0.63
case_38,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,0,0,0,0.4579,non_rmg,0.4579,92.83,1,,4,20.83,1.0,64.33,low,0.58,VC,10.67,1,receive,VC,1,10.67,high,0.7242,0.586
case_36,RMG_receive,T18,2026-04-20 18:55:00,2026-04-20 18:57:00,2026-04-20 19:00:00,0,0,0,0.42,top_3,0.6179,19.2,1,2.0,5,6.15,1.0,17.9,medium,0.5279,T18,0.15,1,receive,T18,1,0.15,low,0.8521,0.56
case_39,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,0,0,0,0.58,non_rmg,0.58,175.23,1,,7,23.7,1.0,145.77,medium,0.5589,VC,31.0,1,receive,VC,1,31.0,very_high,0.83,0.6089
case_40,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,1,0,0,0.42,low,0.54,168.42,0,15.0,4,34.78,1.0,135.63,medium,0.5367,T27,5.63,1,delivery,T27,1,8.1,medium,0.8567,0.5767
case_41,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,0,0,0,0.4002,mid,0.6198,181.75,1,8.0,4,25.92,1.0,144.08,medium,0.5498,T23,10.0,1,receive,T23,1,22.58,high,0.74,0.5598
case_42,Gate In,Res.GateIn,2026-04-20 18:57:00,2026-04-20 18:57:00,2026-04-20 18:57:00,0,0,0,0.49,mid,0.74,186.3,1,6.0,5,27.3,1.0,140.4,very_high,0.6168,T18,6.4,1,receive,T18,1,25.2,medium,0.8735,0.6368
case_39,HO2_receive,HO2,2026-04-20 18:57:00,2026-04-20 18:58:00,2026-04-20 19:30:00,0,0,0,0.58,non_rmg,0.58,175.23,1,,7,23.7,1.0,145.77,medium,0.5589,VC,31.0,1,receive,VC,1,31.0,very_high,0.83,0.6089
case_43,Gate In,Res.GateIn,2026-04-20 18:58:00,2026-04-20 18:58:00,2026-04-20 18:58:00,0,0,0,0.4529,low,0.48,171.15,1,15.0,5,7.45,1.0,135.5,low,0.5829,T06,6.0,1,receive,T06,1,34.2,medium,0.9029,0.6129
case_22,Gate Out,Res.GateOut,2026-04-20 18:53:00,2026-04-20 18:59:00,2026-04-20 18:59:00,1,0,0,0.4056,top_3,0.6744,152.47,0,3.0,4,32.5,1.0,120.3,high,0.5444,T14,6.17,1,delivery,T14,1,20.87,medium,0.74,0.5544
case_30,RMG_delivery,T14,2026-04-20 18:49:00,2026-04-20 18:59:00,2026-04-20 19:08:00,1,0,0,0.47,top_3,0.6876,71.97,0,3.0,3,3.2,0.0,69.6,high,0.5976,T14,9.77,1,delivery,T14,1,6.0,high,0.7048,0.5924
case_37,RMG_mixed,T21,2026-04-20 18:56:00,2026-04-20 18:59:00,2026-04-20 19:19:00,1,0,0,0.5798,mid,0.7699,85.53,1,4.0,11,18.2,0.5,99.5,very_high,0.59,T21,4.93,2,mixed,T21,1,30.63,medium,0.7899,0.62
