demand_multiplier,metric,n,mean,std,min,max
2.4,p90_rmg_service_min,2,21.5,0.7071067811865476,21.0,22.0
2.4,mean_rmg_pre_service_min,2,8.238358036371281,0.22484999611997308,8.079365079365079,8.397350993377483
2.4,median_rmg_pre_service_min,2,6.0,0.0,6.0,6.0
2.4,p90_rmg_pre_service_min,2,19.5,0.7071067811865476,19.0,20.0
2.4,rmg_events,2,447.0,8.48528137423857,441.0,453.0
2.4,rmg_receive_events,2,277.5,7.7781745930520225,272.0,283.0
2.4,mean_rmg_receive_service_min,2,10.641160881313656,0.23711079084373263,10.473498233215548,10.808823529411764
2.4,median_rmg_receive_service_min,2,8.0,0.0,8.0,8.0
2.4,p90_rmg_receive_service_min,2,20.5,0.7071067811865476,20.0,21.0
2.4,mean_rmg_receive_pre_service_min,2,8.318534348368322,0.7988296715698828,7.7536764705882355,8.883392226148409
2.4,median_rmg_receive_pre_service_min,2,6.0,0.0,6.0,6.0
2.4,p90_rmg_receive_pre_service_min,2,19.0,2.8284271247461903,17.0,21.0
2.4,rmg_delivery_events,2,140.5,0.7071067811865476,140.0,141.0
2.4,mean_rmg_delivery_service_min,2,8.625481256332321,0.3390817016571355,8.385714285714286,8.865248226950355
2.4,median_rmg_delivery_service_min,2,6.5,0.7071067811865476,6.0,7.0
2.4,p90_rmg_delivery_service_min,2,18.050000000000004,2.7577164466275295,16.10000000000001,20.0
2.4,mean_rmg_delivery_pre_service_min,2,8.121175278622088,1.343144674132259,7.171428571428572,9.070921985815604
2.4,median_rmg_delivery_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
2.4,p90_rmg_delivery_pre_service_min,2,18.5,4.949747468305833,15.0,22.0
2.4,mean_inter_arrival_min,2,0.3005008347245409,0.002360957533177111,0.2988313856427379,0.3021702838063439
2.4,zero_inter_arrival_share,2,0.7520868113522537,0.01534622396565122,0.7412353923205343,0.7629382303839732
2.4,arrival_rate_per_elapsed_hour,2,199.67282940831507,1.5687779077036088,198.5635359116022,200.78212290502793
3.0,mean_turnaround_min,2,31.654,0.06128258770283365,31.610666666666667,31.697333333333333
3.0,median_turnaround_min,2,27.5,0.7071067811865476,27.0,28.0
3.0,p90_turnaround_min,2,54.5,2.1213203435596424,53.0,56.0
3.0,mean_rmg_service_min,2,11.131087677460222,0.24556527185075105,10.957446808510639,11.304728546409807
3.0,median_rmg_service_min,2,8.0,0.0,8.0,8.0
3.0,p90_rmg_service_min,2,21.5,0.7071067811865476,21.0,22.0
3.0,mean_rmg_pre_service_min,2,7.849890077132318,0.4797744672886635,7.51063829787234,8.189141856392295
3.0,median_rmg_pre_service_min,2,5.5,0.7071067811865476,5.0,6.0
3.0,p90_rmg_pre_service_min,2,18.0,1.4142135623730951,17.0,19.0
3.0,rmg_events,2,567.5,4.949747468305833,564.0,571.0
3.0,rmg_receive_events,2,350.0,1.4142135623730951,349.0,351.0
3.0,mean_rmg_receive_service_min,2,11.524498159168648,0.10515485214471353,11.450142450142451,11.598853868194842
3.0,median_rmg_receive_service_min,2,9.0,0.0,9.0,9.0
3.0,p90_rmg_receive_service_min,2,22.0,0.0,22.0,22.0
3.0,mean_rmg_receive_pre_service_min,2,7.913954399627752,0.5431143922404349,7.52991452991453,8.297994269340974
