scenario,metric,configuration,n_paired_seeds,mean_scenario_delta,sd_scenario_delta,ci95_lo,ci95_hi,interval_excludes_zero
t22_closed,median_rmg_receive_pre_service_min,rules_workload,10,0.4,0.5163977794943223,0.03059128221082008,0.76940871778918,True
t22_closed,median_rmg_receive_service_min,rules_only,10,0.0,0.0,0.0,0.0,False
t22_closed,median_rmg_receive_service_min,rules_workload,10,0.0,0.0,0.0,0.0,False
t22_closed,median_rmg_service_min,rules_only,10,0.0,0.0,0.0,0.0,False
t22_closed,median_rmg_service_min,rules_workload,10,0.0,0.0,0.0,0.0,False
t22_closed,median_turnaround_min,rules_only,10,0.0,0.0,0.0,0.0,False
t22_closed,median_turnaround_min,rules_workload,10,-0.1,0.31622776601683794,-0.3262157162798205,0.12621571627982048,False
t22_closed,p90_rmg_delivery_pre_service_min,rules_only,10,0.1700000000000273,0.5963779562213033,-0.2566230895515528,0.5966230895516074,False
t22_closed,p90_rmg_delivery_pre_service_min,rules_workload,10,0.10999999999994543,0.31428932176861973,-0.11482903680007304,0.3348290367999639,False
t22_closed,p90_rmg_delivery_service_min,rules_only,10,-0.1,0.5676462121975466,-0.5060696380436043,0.3060696380436043,False
t22_closed,p90_rmg_delivery_service_min,rules_workload,10,0.1600000000000364,0.5891613625409445,-0.26146064942471475,0.5814606494247876,False
t22_closed,p90_rmg_pre_service_min,rules_only,10,0.0,0.0,0.0,0.0,False
t22_closed,p90_rmg_pre_service_min,rules_workload,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,False
t22_closed,p90_rmg_receive_pre_service_min,rules_only,10,0.1800000000000182,0.6069962474714894,-0.25421895752699036,0.6142189575270267,False
t22_closed,p90_rmg_receive_pre_service_min,rules_workload,10,0.2,0.42163702135578396,-0.10162095503976065,0.5016209550397607,False
t22_closed,p90_rmg_receive_service_min,rules_only,10,0.0,0.4714045207910317,-0.3372224794536563,0.3372224794536563,False
t22_closed,p90_rmg_receive_service_min,rules_workload,10,-0.2,0.42163702135578396,-0.5016209550397607,0.10162095503976065,False
t22_closed,p90_rmg_service_min,rules_only,10,-0.11000000000003637,0.3142893217686165,-0.33482903680005255,0.1148290367999798,False
t22_closed,p90_rmg_service_min,rules_workload,10,-0.1,0.5676462121975467,-0.5060696380436044,0.3060696380436043,False
t22_closed,p90_turnaround_min,rules_only,10,0.1,0.7378647873726218,-0.42783667131958114,0.6278366713195811,False
t22_closed,p90_turnaround_min,rules_workload,10,0.0,0.4714045207910317,-0.3372224794536563,0.3372224794536563,False
t22_closed,rmg_delivery_events,rules_only,10,-6.7,16.573405738645807,-18.555900250594124,5.155900250594123,False
t22_closed,rmg_delivery_events,rules_workload,10,-19.7,35.94455607058058,-45.4131864171396,6.013186417139597,False
t22_closed,rmg_events,rules_only,10,-9.9,17.916162783612144,-22.716450775751554,2.9164507757515548,False
t22_closed,rmg_events,rules_workload,10,-31.4,38.76481795534594,-59.13068023305234,-3.669319766947659,True
t22_closed,rmg_receive_events,rules_only,10,0.0,14.313940369055926,-10.23957609465644,10.23957609465644,False
t22_closed,rmg_receive_events,rules_workload,10,-13.0,19.055474570608602,-26.63146533063325,0.6314653306332509,False
t22_closed,zero_inter_arrival_share,rules_only,10,0.0,0.0,0.0,0.0,False
t22_closed,zero_inter_arrival_share,rules_workload,10,0.0,0.0,0.0,0.0,False
