demand_multiplier,metric,n,mean_delta,std_delta,ci95_delta_lo,ci95_delta_hi,ci_excludes_zero
1.5,median_rmg_service_min,10,0.1,0.31622776601683794,-0.12621571627982048,0.3262157162798205,False
1.5,p90_rmg_service_min,10,0.13000000000001818,1.1719404611345952,-0.7083557022590597,0.9683557022590962,False
1.5,mean_rmg_pre_service_min,10,-0.11465135595146903,0.3337644428647828,-0.3534120551222427,0.12410934321930467,False
1.5,median_rmg_pre_service_min,10,0.0,0.6666666666666666,-0.4769046039804431,0.4769046039804431,False
1.5,p90_rmg_pre_service_min,10,-0.4,0.8432740427115678,-1.0032419100795211,0.2032419100795212,False
1.5,rmg_events,10,-1.5,6.078194176270157,-5.848078179825532,2.8480781798255324,False
1.5,rmg_receive_events,10,-3.6,5.561774297230456,-7.578653652973947,0.3786536529739468,False
1.5,mean_rmg_receive_service_min,10,0.1659815588617201,0.3350302125485563,-0.0736846173937093,0.4056477351171495,False
1.5,median_rmg_receive_service_min,10,0.0,0.0,0.0,0.0,False
1.5,p90_rmg_receive_service_min,10,0.22000000000000455,1.3838753958037966,-0.7699648213911283,1.2099648213911374,False
1.5,mean_rmg_receive_pre_service_min,10,-0.061401773524547745,0.37389239939864033,-0.3288682835243071,0.20606473647521162,False
1.5,median_rmg_receive_pre_service_min,10,0.0,0.6666666666666666,-0.4769046039804431,0.4769046039804431,False
1.5,p90_rmg_receive_pre_service_min,10,-0.6,0.8432740427115678,-1.2032419100795213,0.0032419100795212374,False
1.5,rmg_delivery_events,10,1.6,4.273952113286562,-1.4574011600274588,4.657401160027459,False
1.5,mean_rmg_delivery_service_min,10,0.022243224644267378,0.5514766166149476,-0.37225938153257204,0.4167458308211068,False
1.5,median_rmg_delivery_service_min,10,0.2,0.6324555320336759,-0.25243143255964096,0.652431432559641,False
1.5,p90_rmg_delivery_service_min,10,0.10999999999999659,1.5623699945915457,-1.0076521653124157,1.2276521653124088,False
1.5,mean_rmg_delivery_pre_service_min,10,-0.18701042598300202,0.37526497567393047,-0.45545881790026166,0.08143796593425764,False
1.5,median_rmg_delivery_pre_service_min,10,-0.1,0.7378647873726218,-0.6278366713195811,0.42783667131958114,False
1.5,p90_rmg_delivery_pre_service_min,10,-0.5700000000000103,1.0478019320887364,-1.3195523482090932,0.17955234820907262,False
1.5,mean_inter_arrival_min,10,-0.22471235617808905,0.00935525693315853,-0.23140470383235395,-0.21802000852382414,True
1.5,zero_inter_arrival_share,10,0.11380690345172587,0.004880110264019329,0.11031588287246132,0.11729792403099042,True
1.5,arrival_rate_per_elapsed_hour,10,43.13511992875779,1.6947067576194061,41.92279974609959,44.347440111415985,True
2.0,mean_turnaround_min,10,-0.12334999999999993,0.4030680291354176,-0.411687498218006,0.16498749821800615,False
2.0,median_turnaround_min,10,0.2,0.42163702135578396,-0.10162095503976065,0.5016209550397607,False
2.0,p90_turnaround_min,10,-0.13000000000004092,0.8857514073122227,-0.7636283861940745,0.5036283861939925,False
2.0,mean_rmg_service_min,10,-0.0037743945364798748,0.15941246360708175,-0.11781120127560306,0.11026241220264331,False
2.0,median_rmg_service_min,10,-0.1,0.5676462121975466,-0.5060696380436043,0.3060696380436043,False
2.0,p90_rmg_service_min,10,-0.009999999999990905,0.4863697724525597,-0.3579279755793102,0.3379279755793284,False
2.0,mean_rmg_pre_service_min,10,-0.11047621304244819,0.30238332062985757,-0.32678820970535855,0.10583578362046216,False
2.0,median_rmg_pre_service_min,10,-0.1,0.7378647873726218,-0.6278366713195811,0.42783667131958114,False
2.0,p90_rmg_pre_service_min,10,-0.559999999999991,0.7471427053931811,-1.0944736940486088,-0.025526305951373063,True
2.0,rmg_events,10,2.8,8.456424250894175,-3.2493614876949533,8.849361487694953,False
2.0,rmg_receive_events,10,0.6,5.521674464226308,-3.349967960506159,4.549967960506159,False
