seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,gate_arrivals,closed_period_gate_arrivals,sunday_gate_arrivals,night_gate_arrivals,arrival_calendar_compliance,demand_multiplier,nominal_cases,experiment
45,calendar_demand_x3.00,6000,18530,4532,32.04783333333334,28.0,54.0,441.0,11.087599293909973,8.0,22.0,8.009929390997351,5.0,18.0,2667,11.468316460442445,9.0,22.0,8.06674165729284,5.0,18.0,1520,8.70592105263158,6.0,17.0,7.848026315789474,5.0,18.0,0.2342057009501583,0.7919653275545925,1405.0,256.1850533807829,0,0,6000,0,0,1431,True,3.0,6000,calendar_preserving
46,calendar_demand_x1.00,2000,6175,1540,32.388,28.0,55.0,308.0,11.163636363636364,8.0,23.0,8.86038961038961,6.0,20.0,957,11.596656217345872,9.0,23.399999999999977,8.86833855799373,6.0,20.0,472,8.370762711864407,6.0,16.0,8.709745762711865,5.0,19.900000000000038,0.6538269134567284,0.5577788894447223,1307.0,91.76740627390971,0,0,2000,0,0,414,True,1.0,2000,calendar_preserving
46,calendar_demand_x1.20,2400,7434,1835,32.3625,28.0,54.0,549.0,11.035967302452317,9.0,22.0,8.361852861035421,6.0,19.0,1141,11.45048203330412,9.0,22.0,8.112182296231376,6.0,19.0,565,8.753982300884955,7.0,18.0,8.842477876106194,6.0,20.0,0.5831596498541058,0.6065027094622759,1399.0,102.88777698355968,0,0,2400,0,0,538,True,1.2,2400,calendar_preserving
46,calendar_demand_x1.50,3000,9270,2310,32.29966666666667,28.0,54.0,390.0,11.34978354978355,8.0,22.0,7.9787878787878785,5.0,19.0,1428,11.599439775910364,9.0,22.0,7.925070028011205,5.0,19.0,716,9.097765363128492,7.0,18.0,8.097765363128492,5.0,18.0,0.4498166055351784,0.6635545181727243,1349.0,133.38769458858414,0,0,3000,0,0,655,True,1.5,3000,calendar_preserving
46,calendar_demand_x2.00,4000,12372,3047,32.2755,28.0,54.0,651.0,10.9793239251723,8.0,22.0,8.25533311453889,6.0,19.0,1863,11.088030059044552,9.0,22.0,8.3467525496511,6.0,19.0,951,8.520504731861198,7.0,17.0,8.394321766561514,6.0,19.0,0.3565891472868217,0.7189297324331083,1426.0,168.2608695652174,0,0,4000,0,0,934,True,2.0,4000,calendar_preserving
46,calendar_demand_x2.40,4800,14853,3635,32.341875,28.0,54.0,1113.0,10.825584594222834,8.0,21.0,8.378266850068776,6.0,19.0,2205,11.081179138321996,9.0,21.0,8.587301587301587,6.0,20.0,1158,8.585492227979275,6.0,17.0,8.01986183074266,5.5,19.0,0.2971452385913732,0.7555740779329027,1426.0,201.921458625526,0,0,4800,0,0,896,True,2.4,4800,calendar_preserving
46,calendar_demand_x3.00,6000,18570,4555,32.303333333333335,28.0,54.0,578.0,10.935455543358946,8.0,22.0,8.070911086717892,5.0,19.0,2768,11.385838150289016,9.0,22.0,8.227239884393063,6.0,19.0,1446,8.43222683264177,6.0,17.0,7.892807745504841,5.0,19.0,0.2398733122187031,0.7929654942490415,1439.0,250.1320361362057,0,0,6000,0,0,1291,True,3.0,6000,calendar_preserving
47,calendar_demand_x1.00,2000,6211,1533,32.348,28.0,53.0,614.0,10.61187214611872,8.0,21.0,8.452054794520548,6.0,19.0,907,10.965821389195147,9.0,20.0,8.489525909592063,6.0,19.0,525,8.487619047619047,6.0,17.0,8.325714285714286,6.0,18.0,0.7078539269634817,0.5457728864432216,1415.0,84.76325088339223,0,0,2000,0,0,430,True,1.0,2000,calendar_preserving
47,calendar_demand_x1.20,2400,7483,1824,32.3925,28.0,53.0,1036.0,10.752741228070176,8.0,21.0,8.12938596491228,6.0,19.0,1074,11.06610800744879,9.0,21.0,8.097765363128492,5.0,19.0,629,8.689984101748808,6.0,16.0,8.456279809220986,6.0,18.0,0.5989995831596499,0.5977490621092122,1437.0,100.1670146137787,0,0,2400,0,0,526,True,1.2,2400,calendar_preserving
47,calendar_demand_x1.50,3000,9295,2294,32.191,28.0,55.0,396.0,10.852659110723629,8.0,22.0,8.387968613775065,6.0,19.0,1356,11.07669616519174,9.0,23.0,8.46165191740413,6.0,19.0,791,9.208596713021493,6.0,18.0,8.514538558786347,6.0,20.0,0.4824941647215738,0.6528842947649216,1447.0,124.35383552176918,0,0,3000,0,0,640,True,1.5,3000,calendar_preserving
47,calendar_demand_x2.00,4000,12377,3049,32.20225,27.0,55.0,485.0,10.993768448671696,8.0,22.0,8.348310921613644,6.0,20.0,1804,11.611419068736142,9.0,22.0,8.291574279379157,6.0,19.0,1043,8.386385426653883,6.0,16.0,8.548418024928091,6.0,20.0,0.3485871467866966,0.7176794198549638,1394.0,172.12338593974175,0,0,4000,0,0,837,True,2.0,4000,calendar_preserving
47,calendar_demand_x2.40,4800,14849,3675,32.10854166666667,28.0,55.0,928.0,11.103401360544218,8.0,22.0,7.946666666666666,5.0,18.0,2185,11.416475972540043,9.0,22.0,8.052631578947368,5.0,19.0,1246,8.68378812199037,6.0,17.0,7.725521669341894,5.0,17.0,0.2888101687851636,0.7582829756199209,1386.0,207.74891774891776,0,0,4800,0,0,1059,True,2.4,4800,calendar_preserving
47,calendar_demand_x3.00,6000,18523,4609,32.002833333333335,28.0,54.0,551.0,10.952918203514862,8.0,22.0,8.250379691907138,6.0,19.0,2736,11.194809941520468,9.0,22.0,8.15643274853801,6.0,19.0,1559,9.098139833226428,6.0,19.0,8.361128928800513,6.0,19.0,0.2330388398066344,0.7929654942490415,1398.0,257.46781115879827,0,0,6000,0,0,1217,True,3.0,6000,calendar_preserving
48,calendar_demand_x1.00,2000,6207,1528,32.696,28.0,55.0,279.0,10.958769633507853,8.0,22.0,8.118455497382199,5.0,19.0,901,11.153163152053274,9.0,22.0,7.885682574916759,5.0,19.0,507,9.055226824457591,6.0,18.0,8.299802761341223,5.0,20.400000000000038,0.7238619309654828,0.535767883941971,1447.0,82.88873531444368,0,0,2000,0,0,408,True,1.0,2000,calendar_preserving
48,calendar_demand_x1.20,2400,7417,1841,32.62833333333333,28.0,56.0,432.0,10.9565453557849,8.0,22.0,8.656708310700706,6.0,20.0,1086,11.11878453038674,9.0,22.0,8.427255985267035,6.0,19.5,615,8.824390243902439,7.0,18.0,9.076422764227642,7.0,21.0,0.5835764902042517,0.6035848270112547,1400.0,102.81428571428572,0,0,2400,0,0,502,True,1.2,2400,calendar_preserving
48,calendar_demand_x1.50,3000,9314,2277,32.45133333333333,28.0,55.0,581.0,11.071146245059287,8.0,22.0,7.934123847167325,5.0,18.0,1349,11.476649369903631,9.0,22.0,8.028169014084508,5.0,18.0,755,8.870198675496688,6.0,17.0,7.802649006622516,6.0,17.0,0.4734911637212404,0.6588862954318107,1420.0,126.71830985915491,0,0,3000,0,0,622,True,1.5,3000,calendar_preserving
48,calendar_demand_x2.00,4000,12444,3042,32.302,28.0,53.0,708.0,11.065417488494411,9.0,22.0,8.015450361604207,5.0,19.0,1813,11.286817429674572,9.0,21.0,8.053502482073911,5.0,19.0,988,9.037449392712553,7.0,18.0,7.851214574898785,5.0,18.0,0.3403350837709427,0.7254313578394599,1361.0,176.29684055841292,0,0,4000,0,0,791,True,2.0,4000,calendar_preserving
48,calendar_demand_x2.40,4800,14853,3677,32.16416666666667,28.0,55.0,388.0,10.976883328800652,8.0,21.0,8.293173782975252,6.0,19.0,2225,11.173483146067417,9.0,21.0,8.503820224719101,6.0,20.0,1172,8.68259385665529,6.0,17.0,7.912969283276451,6.0,18.0,0.2936028339237341,0.7549489476974369,1409.0,204.35770049680625,0,0,4800,0,0,1071,True,2.4,4800,calendar_preserving
48,calendar_demand_x3.00,6000,18527,4571,31.952,28.0,54.0,539.0,11.16626558739882,8.0,22.0,8.0409100853205,5.0,19.0,2759,11.31823124320406,9.0,21.0,8.114534251540412,5.0,19.0,1459,8.864976010966416,6.0,18.0,7.9396847155586014,5.0,18.0,0.2368728121353558,0.7892982163693949,1421.0,253.30049261083744,0,0,6000,0,0,1256,True,3.0,6000,calendar_preserving
49,calendar_demand_x1.00,2000,6137,1531,31.733,28.0,53.0,156.0,11.133899412148924,8.0,23.0,8.133899412148923,6.0,19.0,940,11.512765957446808,9.0,23.0,8.254255319148935,6.0,19.0,480,8.78125,6.0,18.0,7.916666666666667,5.0,19.0,0.704352176088044,0.5567783891945973,1408.0,85.1846590909091,0,0,2000,0,0,440,True,1.0,2000,calendar_preserving
