seed,scenario,sim_cases,sim_events,rmg_events,mean_turnaround_min,median_turnaround_min,p90_turnaround_min,max_turnaround_min,mean_rmg_service_min,median_rmg_service_min,p90_rmg_service_min,mean_rmg_pre_service_min,median_rmg_pre_service_min,p90_rmg_pre_service_min,rmg_receive_events,mean_rmg_receive_service_min,median_rmg_receive_service_min,p90_rmg_receive_service_min,mean_rmg_receive_pre_service_min,median_rmg_receive_pre_service_min,p90_rmg_receive_pre_service_min,rmg_delivery_events,mean_rmg_delivery_service_min,median_rmg_delivery_service_min,p90_rmg_delivery_service_min,mean_rmg_delivery_pre_service_min,median_rmg_delivery_pre_service_min,p90_rmg_delivery_pre_service_min,mean_inter_arrival_min,zero_inter_arrival_share,arrival_span_min,arrival_rate_per_elapsed_hour,service_events_above_24h,turnaround_cases_above_24h,demand_multiplier,experiment
48,demand_x3.00,2000,6237,1538,32.536,28.0,56.0,436.0,11.099479843953183,8.0,22.0,8.335500650195058,6.0,20.0,906,11.286975717439294,9.0,21.0,8.399558498896248,6.0,19.0,510,8.433333333333334,6.0,17.0,8.123529411764705,5.0,20.0,0.2471235617808904,0.784392196098049,494.0,242.79352226720647,0,0,3.0,arrival_horizon_compression
49,demand_x1.00,2000,6137,1531,31.733,28.0,53.0,156.0,11.133899412148924,8.0,23.0,8.133899412148923,6.0,19.0,940,11.512765957446808,9.0,23.0,8.254255319148935,6.0,19.0,480,8.78125,6.0,18.0,7.916666666666667,5.0,19.0,0.704352176088044,0.5567783891945973,1408.0,85.1846590909091,0,0,1.0,arrival_horizon_compression
49,demand_x1.20,2000,6147,1526,31.59,28.0,54.0,135.0,11.414154652686763,9.0,23.0,7.699868938401049,5.0,17.0,936,11.803418803418804,9.0,23.0,7.810897435897436,5.0,19.0,483,8.979296066252587,7.0,17.80000000000001,7.612836438923395,6.0,16.0,0.5887943971985993,0.615807903951976,1177.0,101.90314358538656,0,0,1.2,arrival_horizon_compression
49,demand_x1.50,2000,6140,1528,31.313,28.0,52.0,174.0,10.9934554973822,8.0,22.0,7.93455497382199,5.0,18.0,930,11.281720430107526,9.0,22.0,8.113978494623655,5.0,18.0,490,8.83061224489796,7.0,18.0,7.391836734693878,5.0,17.0,0.472736368184092,0.6668334167083542,945.0,126.92063492063492,0,0,1.5,arrival_horizon_compression
49,demand_x2.00,2000,6146,1534,31.2935,28.0,52.0,220.0,10.826597131681876,8.0,22.0,7.822033898305085,5.0,18.0,944,10.796610169491526,9.0,21.0,7.989406779661017,5.0,19.0,480,9.145833333333334,7.0,19.0,7.685416666666667,5.0,18.0,0.3566783391695848,0.7243621810905453,713.0,168.21879382889202,0,0,2.0,arrival_horizon_compression
49,demand_x2.40,2000,6162,1534,31.732,28.0,53.0,636.0,11.509126466753584,9.0,23.0,8.224250325945242,6.0,19.0,940,11.907446808510638,9.0,24.0,8.297872340425531,6.0,19.0,483,9.341614906832298,7.0,20.0,8.20703933747412,6.0,19.80000000000001,0.2991495747873937,0.7583791895947974,598.0,200.5685618729097,0,0,2.4,arrival_horizon_compression
49,demand_x3.00,2000,6171,1535,32.276,28.0,54.0,278.0,11.316612377850165,8.0,22.0,8.222801302931597,5.0,20.0,941,11.611052072263549,9.0,22.0,8.14346439957492,5.0,19.0,486,8.991769547325102,6.0,19.0,8.559670781893004,6.0,20.0,0.24112056028014,0.7988994497248624,482.0,248.83817427385893,0,0,3.0,arrival_horizon_compression
50,demand_x1.00,2000,6178,1579,32.143,28.0,53.100000000000136,245.0,10.92716909436352,9.0,22.0,8.16846105129829,6.0,19.0,938,11.430703624733477,9.0,22.0,8.415778251599146,6.0,19.0,513,8.610136452241715,7.0,16.0,7.76803118908382,6.0,18.0,0.6778389194597298,0.5417708854427213,1355.0,88.51660516605166,0,0,1.0,arrival_horizon_compression
50,demand_x1.20,2000,6153,1566,31.357,28.0,52.0,161.0,10.746487867177525,8.0,22.0,8.0727969348659,6.0,19.0,928,10.93426724137931,9.0,21.0,8.282327586206897,6.0,20.0,510,8.807843137254903,6.0,19.0,7.949019607843137,6.0,19.0,0.5662831415707854,0.5977988994497249,1132.0,105.95406360424028,0,0,1.2,arrival_horizon_compression
50,demand_x1.50,2000,6161,1566,31.925,28.0,54.100000000000136,262.0,11.253512132822475,9.0,23.0,8.0970625798212,5.0,19.0,925,11.10054054054054,9.0,21.0,8.304864864864864,5.0,19.0,513,9.475633528265108,7.0,18.0,7.699805068226121,5.0,18.0,0.4547273636818409,0.6598299149574788,909.0,131.94719471947195,0,0,1.5,arrival_horizon_compression
50,demand_x2.00,2000,6150,1571,31.4975,28.0,52.0,190.0,11.041374920432846,8.0,22.0,8.206874602164227,6.0,19.0,929,11.193756727664155,9.0,22.0,8.427341227125941,6.0,19.0,514,8.79182879377432,6.0,19.0,7.83852140077821,6.0,18.0,0.3431715857928964,0.7123561780890445,686.0,174.8396501457726,0,0,2.0,arrival_horizon_compression
50,demand_x2.40,2000,6174,1573,32.0995,28.0,54.0,677.0,10.952956134774317,9.0,21.0,8.083280356007629,5.0,19.0,931,11.164339419978518,9.0,22.0,8.245972073039741,6.0,20.0,513,9.056530214424953,6.0,18.0,7.851851851851852,5.0,18.0,0.2876438219109555,0.7553776888444222,575.0,208.59130434782608,0,0,2.4,arrival_horizon_compression
50,demand_x3.00,2000,6174,1578,32.3355,28.0,55.100000000000136,491.0,11.211660329531052,9.0,22.0,8.358048162230672,6.0,20.0,937,11.385272145144077,9.0,21.0,8.453575240128067,6.0,20.0,511,8.726027397260275,6.0,17.0,8.25440313111546,5.0,21.0,0.2321160580290145,0.7923961980990495,464.0,258.4913793103448,0,0,3.0,arrival_horizon_compression
51,demand_x1.00,2000,6162,1503,32.5605,28.0,55.100000000000136,651.0,11.067864271457086,8.0,22.0,8.255489021956087,5.0,20.0,883,11.016987542468856,8.0,21.0,8.601359003397508,6.0,20.0,486,9.205761316872428,6.0,19.0,7.646090534979423,5.0,18.0,0.6498249124562281,0.5597798899449725,1299.0,92.3325635103926,0,0,1.0,arrival_horizon_compression
51,demand_x1.20,2000,6149,1506,32.027,28.0,54.0,264.0,11.190571049136786,8.0,23.0,8.211155378486056,6.0,19.0,890,11.42247191011236,9.0,23.0,8.395505617977529,6.0,20.0,485,8.668041237113401,6.0,17.0,7.909278350515464,5.0,19.0,0.5432716358179089,0.6153076538269134,1086.0,110.44198895027624,0,0,1.2,arrival_horizon_compression
51,demand_x1.50,2000,6161,1506,31.768,28.0,54.0,264.0,10.655378486055778,8.0,21.0,8.158034528552458,6.0,19.0,881,10.855845629965948,8.0,21.0,8.28149829738933,6.0,19.0,493,7.997971602434077,6.0,16.80000000000001,7.8640973630831645,5.0,18.0,0.4362181090545272,0.6653326663331666,872.0,137.545871559633,0,0,1.5,arrival_horizon_compression
51,demand_x2.00,2000,6176,1494,32.1345,28.0,54.0,857.0,11.085676037483266,8.0,22.0,7.958500669344043,5.0,18.0,877,11.281641961231472,9.0,21.0,7.844925883694413,5.0,18.0,486,8.95679012345679,7.0,17.0,8.22633744855967,6.0,19.0,0.3296648324162081,0.7248624312156078,659.0,182.0030349013657,0,0,2.0,arrival_horizon_compression
51,demand_x2.40,2000,6169,1500,31.5345,27.0,53.0,321.0,10.509333333333334,8.0,21.0,8.158666666666667,6.0,19.0,883,10.475651189127973,8.0,20.0,8.110985277463193,6.0,18.0,483,8.695652173913043,6.0,16.80000000000001,8.124223602484472,5.0,20.0,0.2761380690345172,0.759879939969985,552.0,217.2826086956522,0,0,2.4,arrival_horizon_compression
51,demand_x3.00,2000,6178,1502,32.158,28.0,54.0,659.0,11.101198402130493,8.0,23.0,8.147137150466046,5.0,19.0,882,11.334467120181406,9.0,23.0,8.22108843537415,5.0,18.899999999999977,486,8.660493827160494,6.0,17.0,7.890946502057613,5.0,19.0,0.2226113056528264,0.7978989494747374,445.0,269.5280898876405,0,0,3.0,arrival_horizon_compression
