case:concept:name,concept:name,org:resource,enabled:timestamp,start:timestamp,time:timestamp,gate_utilization,process_flow_type,n_stops,n_containers,target_rank_group,vc_utilization,mt_utilization,target_rank,n_deliveries,target_utilization,target_utilization_bin,rmg_utilization,n_receives,visit_complexity,target_demand_bin,has_reefer,target_demand,primary_target_area,gate_demand,mt_demand,has_hazardous,target_area,vc_demand,rmg_demand,full_ratio
case_13,Gate Out,Res.GateOut,2026-04-20 18:36:00,2026-04-20 18:41:00,2026-04-20 18:41:00,0.63,delivery,1,1,low,0.49,0.86,12.0,1,0.43,low,0.61,0,3,low,0,4.0,T06,38.0,10.0,0,T06,6.0,32.0,1.0
case_15,RMG_receive,T16,2026-04-20 18:24:00,2026-04-20 18:41:00,2026-04-20 19:24:00,0.6359,delivery,1,1,non_rmg,0.5259,0.8341,,1,0.8341,very_high,0.6159,0,3,very_high,0,23.88,MT,109.48,23.88,0,MT,15.57,85.87,0.0
case_19,Gate Out,Res.GateOut,2026-04-20 18:36:00,2026-04-20 18:41:00,2026-04-20 18:41:00,0.6491,receive,1,1,mid,0.53,0.82,8.0,0,0.7082,high,0.6291,1,5,low,0,2.9,T25,47.97,12.27,0,T25,6.73,37.5,1.0
case_22,RMG_receive,T11,2026-04-20 18:27:00,2026-04-20 18:41:00,2026-04-20 19:28:00,0.5544,delivery,1,1,top_3,0.4056,0.74,3.0,1,0.6744,high,0.5444,0,4,medium,0,6.17,T14,152.47,32.5,0,T14,20.87,120.3,1.0
case_32,Gate Out,Res.GateOut,2026-04-20 18:39:00,2026-04-20 18:41:00,2026-04-20 18:41:00,0.59,receive,1,1,non_rmg,0.393,0.75,,0,0.75,very_high,0.6,1,4,very_high,0,25.48,MT,173.02,25.48,0,MT,51.32,141.5,1.0
case_33,Gate In,Res.GateIn,2026-04-20 18:41:00,2026-04-20 18:41:00,2026-04-20 18:41:00,0.5505,delivery,1,1,non_rmg,0.4105,0.8111,,1,0.8111,very_high,0.52,0,2,very_high,0,39.62,MT,156.5,39.62,0,MT,18.22,136.3,0.0
case_21,RMG_delivery,T27,2026-04-20 18:27:00,2026-04-20 18:42:00,2026-04-20 18:45:00,0.6335,receive,1,1,mid,0.5235,0.8335,8.0,0,0.7135,high,0.61,1,7,low,1,1.8,T19,71.2,0.0,0,T19,17.8,82.4,1.0
case_34,Gate In,Res.GateIn,2026-04-20 18:42:00,2026-04-20 18:42:00,2026-04-20 18:42:00,0.54,delivery,1,1,mid,0.5,0.86,7.0,1,0.586,medium,0.47,0,4,low,0,3.83,T16,35.67,2.92,0,T16,9.83,26.0,1.0
case_33,RMG_delivery,T24,2026-04-20 18:41:00,2026-04-20 18:42:00,2026-04-20 18:46:00,0.5505,delivery,1,1,non_rmg,0.4105,0.8111,,1,0.8111,very_high,0.52,0,2,very_high,0,39.62,MT,156.5,39.62,0,MT,18.22,136.3,0.0
case_3,Gate Out,Res.GateOut,2026-04-20 18:38:00,2026-04-20 18:44:00,2026-04-20 18:44:00,0.5308,receive,1,1,top_3,0.4,0.8115,2.0,0,0.63,medium,0.4908,1,5,high,0,7.7,T21,144.6,11.5,0,T21,12.8,135.3,1.0
case_29,RMG_receive,T19,2026-04-20 18:30:00,2026-04-20 18:44:00,2026-04-20 18:46:00,0.6013,receive,1,1,low,0.5713,0.81,15.0,0,0.5027,low,0.5613,1,4,medium,0,4.6,T09,38.4,8.27,0,T09,9.4,30.6,1.0
case_14,Gate Out,Res.GateOut,2026-04-20 18:35:00,2026-04-20 18:45:00,2026-04-20 18:45:00,0.618,receive,1,1,non_rmg,0.4741,0.9,,0,0.4741,low,0.58,1,4,very_high,0,30.17,VC,185.0,20.08,0,VC,30.17,143.08,1.0
case_28,RMG_delivery,T12,2026-04-20 18:30:00,2026-04-20 18:45:00,2026-04-20 18:54:00,0.63,receive,2,2,mid,0.4784,0.87,7.0,0,0.6916,high,0.61,2,10,low,0,1.95,T10,28.65,6.0,0,T10,2.95,21.35,1.0
case_34,RMG_receive,T09,2026-04-20 18:42:00,2026-04-20 18:45:00,2026-04-20 18:57:00,0.54,delivery,1,1,mid,0.5,0.86,7.0,1,0.586,medium,0.47,0,4,low,0,3.83,T16,35.67,2.92,0,T16,9.83,26.0,1.0
case_24,HO2_delivery,HO2,2026-04-20 18:27:00,2026-04-20 18:47:00,2026-04-20 18:50:00,0.6091,receive,1,1,mid,0.45,0.8582,7.0,0,0.7009,high,0.5791,1,4,medium,0,6.9,T13,167.8,33.03,0,T13,19.77,116.33,1.0
case_31,Gate Out,Res.GateOut,2026-04-20 18:36:00,2026-04-20 18:47:00,2026-04-20 18:47:00,0.6351,mixed,1,2,top_3,0.5251,0.8351,1.0,1,0.7851,very_high,0.61,1,14,medium,1,5.13,T21,92.97,0.0,0,T21,28.27,96.37,0.5
case_35,Gate In,Res.GateIn,2026-04-20 18:47:00,2026-04-20 18:47:00,2026-04-20 18:47:00,0.5569,receive,1,1,low,0.3669,0.8769,11.0,0,0.5831,medium,0.52,1,4,medium,0,5.77,T16,163.17,24.2,0,T16,10.13,135.0,1.0
case_23,Gate Out,Res.GateOut,2026-04-20 18:41:00,2026-04-20 18:48:00,2026-04-20 18:48:00,0.508,receive,1,1,low,0.35,0.87,12.0,0,0.458,low,0.45,1,5,medium,0,4.6,T13,185.0,37.2,0,T13,36.0,122.4,1.0
case_36,Gate In,Res.GateIn,2026-04-20 18:48:00,2026-04-20 18:48:00,2026-04-20 18:48:00,0.56,receive,1,1,top_3,0.42,0.8521,2.0,0,0.6179,medium,0.5279,1,5,low,0,0.15,T18,19.2,6.15,0,T18,0.15,17.9,1.0
case_35,LL_delivery,LL,2026-04-20 18:47:00,2026-04-20 18:48:00,2026-04-20 18:57:00,0.5569,receive,1,1,low,0.3669,0.8769,11.0,0,0.5831,medium,0.52,1,4,medium,0,5.77,T16,163.17,24.2,0,T16,10.13,135.0,1.0
case_37,Gate In,Res.GateIn,2026-04-20 18:48:00,2026-04-20 18:48:00,2026-04-20 18:48:00,0.62,mixed,1,2,mid,0.5798,0.7899,4.0,1,0.7699,very_high,0.59,1,11,medium,0,4.93,T21,85.53,18.2,0,T21,30.63,99.5,0.5
case_38,Gate In,Res.GateIn,2026-04-20 18:49:00,2026-04-20 18:49:00,2026-04-20 18:49:00,0.586,receive,1,1,non_rmg,0.4579,0.7242,,0,0.4579,low,0.58,1,4,high,0,10.67,VC,92.83,20.83,0,VC,10.67,64.33,1.0
case_37,RMG_receive,T12,2026-04-20 18:48:00,2026-04-20 18:49:00,2026-04-20 18:52:00,0.62,mixed,1,2,mid,0.5798,0.7899,4.0,1,0.7699,very_high,0.59,1,11,medium,0,4.93,T21,85.53,18.2,0,T21,30.63,99.5,0.5
case_39,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,0.6089,receive,1,1,non_rmg,0.58,0.83,,0,0.58,medium,0.5589,1,7,very_high,0,31.0,VC,175.23,23.7,0,VC,31.0,145.77,1.0
case_40,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,0.5767,delivery,1,1,low,0.42,0.8567,15.0,1,0.54,medium,0.5367,0,4,medium,0,5.63,T27,168.42,34.78,0,T27,8.1,135.63,1.0
case_40,HO2_delivery,HO2,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:52:00,0.5767,delivery,1,1,low,0.42,0.8567,15.0,1,0.54,medium,0.5367,0,4,medium,0,5.63,T27,168.42,34.78,0,T27,8.1,135.63,1.0
case_41,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,0.5598,receive,1,1,mid,0.4002,0.74,8.0,0,0.6198,medium,0.5498,1,4,high,0,10.0,T23,181.75,25.92,0,T23,22.58,144.08,1.0
case_42,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,0.6368,receive,1,1,mid,0.49,0.8735,6.0,0,0.74,very_high,0.6168,1,5,medium,0,6.4,T18,186.3,27.3,0,T18,25.2,140.4,1.0
case_43,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,0.6129,receive,1,1,low,0.4529,0.9029,15.0,0,0.48,low,0.5829,1,5,medium,0,6.0,T06,171.15,7.45,0,T06,34.2,135.5,1.0
case_44,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,0.5,receive,1,1,low,0.4056,0.81,12.0,0,0.4744,low,0.44,1,4,low,0,2.5,T16,18.5,8.25,0,T16,1.75,12.25,1.0
case_45,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,0.6395,receive,1,1,top_3,0.47,0.8795,3.0,0,0.75,very_high,0.6195,1,4,medium,0,6.2,T24,159.0,33.4,0,T24,25.8,112.2,0.0
case_46,Gate In,Res.GateIn,2026-04-20 18:50:00,2026-04-20 18:50:00,2026-04-20 18:50:00,0.61,delivery,1,1,low,0.45,0.9,15.0,1,0.62,medium,0.58,0,5,medium,1,5.23,T12,116.73,8.45,0,T12,24.55,101.5,0.0
